STATEFP,COUNTYFP,STNAME,CTYNAME,NAMELSAD,population,Longitude,Latitude
46,129,South Dakota,Walworth County,Walworth County,5587,-100.0315561,45.42995011
6,55,California,Napa County,Napa County,139417,-122.3305332,38.50647366
40,33,Oklahoma,Cotton County,Cotton County,5776,-98.37223045,34.2902379
29,221,Missouri,Washington County,Washington County,24943,-90.8774245,37.96168391
36,11,New York,Cayuga County,Cayuga County,77145,-76.57435821,43.01032673
48,417,Texas,Shackelford County,Shackelford County,3253,-99.35406694,32.73597287
48,407,Texas,San Jacinto County,San Jacinto County,28719,-95.1669012,30.57953358
19,61,Iowa,Dubuque County,Dubuque County,96854,-90.88252187,42.46882243
51,75,Virginia,Goochland County,Goochland County,23244,-77.91585592,37.72165058
20,181,Kansas,Sherman County,Sherman County,5899,-101.7199807,39.35143369
39,139,Ohio,Richland County,Richland County,121099,-82.53648439,40.77468434
17,1,Illinois,Adams County,Adams County,65691,-91.18848886,39.98789405
39,21,Ohio,Champaign County,Champaign County,38754,-83.76949696,40.13767436
33,19,New Hampshire,Sullivan County,Sullivan County,43144,-72.22222936,43.3612747
17,75,Illinois,Iroquois County,Iroquois County,27604,-87.8243044,40.74722608
19,157,Iowa,Poweshiek County,Poweshiek County,18699,-92.5314684,41.68644219
39,169,Ohio,Wayne County,Wayne County,115967,-81.88803135,40.82886738
13,113,Georgia,Fayette County,Fayette County,113459,-84.49419113,33.41394304
13,141,Georgia,Hancock County,Hancock County,8348,-83.00068689,33.27042601
48,259,Texas,Kendall County,Kendall County,45641,-98.71155521,29.94468888
36,39,New York,Greene County,Greene County,47491,-74.1227065,42.27651977
51,137,Virginia,Orange County,Orange County,36644,-78.01366775,38.24621221
40,89,Oklahoma,McCurtain County,McCurtain County,32703,-94.77133233,34.11529469
13,277,Georgia,Tift County,Tift County,40571,-83.52659432,31.45743783
31,25,Nebraska,Cass County,Cass County,26159,-96.1408663,40.90972162
46,77,South Dakota,Kingsbury County,Kingsbury County,4919,-97.49147611,44.36958526
56,9,Wyoming,Converse County,Converse County,13640,-105.5070627,42.97233072
36,43,New York,Herkimer County,Herkimer County,61833,-74.96249798,43.41970212
38,47,North Dakota,Logan County,Logan County,1903,-99.47747592,46.45735552
26,53,Michigan,Gogebic County,Gogebic County,15096,-89.79547179,46.49548986
27,5,Minnesota,Becker County,Becker County,34371,-95.67392354,46.93464837
1,95,Alabama,Marshall County,Marshall County,96109,-86.30663697,34.3669621
47,173,Tennessee,Union County,Union County,19688,-83.83751391,36.28787388
54,57,West Virginia,Mineral County,Mineral County,26940,-78.94374626,39.4147219
55,3,Wisconsin,Ashland County,Ashland County,15600,-90.56450535,46.70071242
17,53,Illinois,Ford County,Ford County,13264,-88.22325865,40.59717696
38,29,North Dakota,Emmons County,Emmons County,3295,-100.2387806,46.28502423
6,89,California,Shasta County,Shasta County,180040,-122.0405215,40.7637666
22,113,Louisiana,Vermilion Parish,Vermilion Parish,59830,-92.30428295,29.80938932
5,121,Arkansas,Randolph County,Randolph County,17948,-91.02771653,36.34148331
55,85,Wisconsin,Oneida County,Oneida County,35470,-89.52181995,45.7055577
22,35,Louisiana,East Carroll Parish,East Carroll Parish,7037,-91.23506511,32.73255346
22,37,Louisiana,East Feliciana Parish,East Feliciana Parish,19305,-91.04553507,30.84507078
22,87,Louisiana,St. Bernard Parish,St. Bernard Parish,46721,-89.30412736,29.90472573
48,481,Texas,Wharton County,Wharton County,41619,-96.22210424,29.27786165
2,198,Alaska,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,6422,-133.1930274,55.72717097
2,195,Alaska,Petersburg Borough,Petersburg Borough,3221,-133.0024593,57.11401308
48,153,Texas,Floyd County,Floyd County,5837,-101.3032345,34.07242455
2,275,Alaska,Wrangell City and Borough,Wrangell City and Borough,2503,-132.1292251,56.29362718
21,151,Kentucky,Madison County,Madison County,92368,-84.27799733,37.7201841
47,9,Tennessee,Blount County,Blount County,131349,-83.92554816,35.68721675
30,31,Montana,Gallatin County,Gallatin County,111876,-111.1703689,45.5403895
45,31,South Carolina,Darlington County,Darlington County,66802,-79.95769405,34.33235227
1,53,Alabama,Escambia County,Escambia County,36748,-87.16161987,31.12612255
13,143,Georgia,Haralson County,Haralson County,29533,-85.21102635,33.79423342
20,1,Kansas,Allen County,Allen County,12444,-95.30138893,37.88573494
17,41,Illinois,Douglas County,Douglas County,19479,-88.21735503,39.76946388
51,79,Virginia,Greene County,Greene County,19779,-78.46686927,38.29762066
66,10,NA,NA,Guam,NA,144.7694517,13.44275955
55,137,Wisconsin,Waushara County,Waushara County,24263,-89.24287896,44.11312031
5,65,Arkansas,Izard County,Izard County,13593,-91.91341718,36.0948747
6,53,California,Monterey County,Monterey County,435594,-121.3089016,36.2397744
35,17,New Mexico,Grant County,Grant County,27346,-108.3824558,32.73900256
29,131,Missouri,Miller County,Miller County,25336,-92.42840777,38.2145295
37,193,North Carolina,Wilkes County,Wilkes County,68557,-81.16338566,36.20627576
2,110,Alaska,Juneau City and Borough,Juneau City and Borough,32113,-134.2119994,58.43450726
29,165,Missouri,Platte County,Platte County,102985,-94.77358945,39.38050346
29,21,Missouri,Buchanan County,Buchanan County,88571,-94.80615591,39.65985894
1,83,Alabama,Limestone County,Limestone County,96174,-86.98137477,34.81007832
18,65,Indiana,Henry County,Henry County,48271,-85.39643537,39.93103974
31,143,Nebraska,Polk County,Polk County,5278,-97.56842113,41.18689688
39,123,Ohio,Ottawa County,Ottawa County,40769,-83.01996925,41.59390013
27,107,Minnesota,Norman County,Norman County,6475,-96.45527776,47.3264762
19,165,Iowa,Shelby County,Shelby County,11578,-95.31021134,41.68509259
24,13,Maryland,Carroll County,Carroll County,168429,-77.02252272,39.56285416
19,11,Iowa,Benton County,Benton County,25642,-92.06569115,42.08018636
21,159,Kentucky,Martin County,Martin County,11323,-82.51329252,37.80157721
27,25,Minnesota,Chisago County,Chisago County,55922,-92.90834216,45.5024731
21,189,Kentucky,Owsley County,Owsley County,4472,-83.68311189,37.41920502
42,15,Pennsylvania,Bradford County,Bradford County,60833,-76.51545255,41.78866771
54,29,West Virginia,Hancock County,Hancock County,29094,-80.57389222,40.52185452
29,51,Missouri,Cole County,Cole County,76796,-92.28160018,38.50541413
26,21,Michigan,Berrien County,Berrien County,154141,-86.68542116,41.99577769
42,61,Pennsylvania,Huntingdon County,Huntingdon County,45168,-77.98120754,40.4169345
31,45,Nebraska,Dawes County,Dawes County,8716,-103.1354381,42.71972222
51,141,Virginia,Patrick County,Patrick County,17673,-80.28427462,36.67836381
26,119,Michigan,Montmorency County,Montmorency County,9265,-84.12720409,45.02754489
26,135,Michigan,Oscoda County,Oscoda County,8276,-84.12977142,44.68175818
35,7,New Mexico,Colfax County,Colfax County,12110,-104.6468425,36.60613674
17,163,Illinois,St. Clair County,St. Clair County,261059,-89.9284095,38.47030709
17,189,Illinois,Washington County,Washington County,13995,-89.41045383,38.35217487
42,9,Pennsylvania,Bedford County,Bedford County,48176,-78.49031712,40.00655527
5,127,Arkansas,Scott County,Scott County,10319,-94.06324913,34.86076302
20,99,Kansas,Labette County,Labette County,19964,-95.29757614,37.19132735
42,73,Pennsylvania,Lawrence County,Lawrence County,86184,-80.33419437,40.99126557
39,67,Ohio,Harrison County,Harrison County,15174,-81.09113541,40.29383876
37,3,North Carolina,Alexander County,Alexander County,37353,-81.17702685,35.92102631
34,9,New Jersey,Cape May County,Cape May County,92560,-74.84997701,39.08509811
33,5,New Hampshire,Cheshire County,Cheshire County,76493,-72.25117527,42.91933143
27,89,Minnesota,Marshall County,Marshall County,9390,-96.36847438,48.35812597
51,101,Virginia,King William County,King William County,16939,-77.08854379,37.70659572
8,55,Colorado,Huerfano County,Huerfano County,6889,-104.9605845,37.68467964
48,255,Texas,Karnes County,Karnes County,15650,-97.85940183,28.90573896
47,23,Tennessee,Chester County,Chester County,17276,-88.61346155,35.42175233
17,171,Illinois,Scott County,Scott County,4926,-90.47469583,39.64414201
49,27,Utah,Millard County,Millard County,13006,-113.1006989,39.07328719
49,29,Utah,Morgan County,Morgan County,12045,-111.5731504,41.08932043
48,257,Texas,Kaufman County,Kaufman County,128622,-96.28779232,32.59931455
