"","210001","210002","210003","210004","210005","210006","210008","210009","210010","210011","210012","210013","210015","210016","210017","210018","210019","210022","210023","210024","210027","210028","210029","210030","210032","210033","210034","210035","210037","210038","210039","210040","210043","210044","210045","210048","210049","210051","210055","210056","210057","210058","210060","210061","210062","210063","210064","210065","213028","213029","213300"
"20601",0,6,1,15,0,0,0,10,0,0,1,0,0,4,0,0,0,1,6,0,0,7,1,0,0,0,0,153,0,0,5,0,0,1,0,1,0,5,0,0,0,1,9,0,80,1,0,0,0,0,0
"20602",0,9,7,9,0,0,0,8,0,0,2,0,2,1,0,2,0,3,7,0,0,10,2,0,0,0,0,251,0,0,4,0,1,0,0,0,0,3,3,0,0,0,2,0,58,1,0,0,0,0,0
"20603",0,10,8,8,0,0,1,11,0,0,2,0,0,2,0,0,0,3,12,0,0,11,3,0,0,0,0,173,0,0,8,0,0,1,0,1,0,3,0,0,0,0,4,0,76,0,0,0,0,0,0
"20606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20607",0,2,3,7,0,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,14,1,0,1,0,0,0,0,0,0,2,1,0,0,1,25,0,36,0,0,0,0,0,0
"20608",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"20609",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"20611",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"20612",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
