  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases
    1,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511753,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116202,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315541,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    2,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511749,    6,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116202,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315537,    6,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    3,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511749,    4,    0,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116197,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315532,    9,    0,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    4,687583,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511746,    3,    0,    8,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116190,    9,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315519,   15,    0,   11,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    5,687582,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511743,    6,    2,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116182,   16,    0,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315507,   26,    2,   10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    6,687581,    4,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511741,    8,    3,    4,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116172,   20,    1,    9,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315494,   32,    4,   14,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    7,687579,    4,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511731,   13,    3,    9,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116165,   21,    3,   13,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315475,   38,    6,   25,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    8,687576,    5,    1,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511723,   19,    4,    8,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116150,   25,    4,   22,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315449,   49,    9,   34,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    9,687575,    5,    1,    4,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511711,   21,    6,   16,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116130,   34,    5,   31,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315416,   60,   12,   51,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   10,687572,    7,    1,    5,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511695,   26,    6,   27,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116101,   50,    7,   41,    3,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0,9315368,   83,   14,   73,    7,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0
