  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases
    1,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511757,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116198,    3,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315541,    3,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    2,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511757,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116193,    6,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315536,    6,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    3,687585,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511752,    4,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116189,    8,    0,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315526,   13,    0,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    4,687585,    0,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511747,    8,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116186,    5,    0,   10,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315518,   13,    0,   13,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    5,687583,    2,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511742,   10,    0,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116176,   14,    0,   10,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315501,   26,    0,   16,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    6,687581,    3,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511737,    9,    0,   10,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116163,   21,    0,   14,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315481,   33,    0,   26,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    7,687576,    7,    0,    2,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511731,   11,    0,   14,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116149,   29,    0,   16,    8,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315456,   47,    0,   32,   10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    8,687575,    5,    0,    4,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511722,   18,    0,   14,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116135,   31,    1,   21,   14,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315432,   54,    1,   39,   19,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    9,687568,   10,    0,    6,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511707,   25,    1,   17,    7,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116121,   31,    3,   32,   15,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315396,   66,    4,   55,   24,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   10,687563,   11,    0,    8,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511693,   27,    1,   26,   10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116087,   50,    3,   43,   19,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315343,   88,    4,   77,   33,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   11,687552,   16,    1,   13,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511672,   37,    2,   33,   13,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116044,   69,    6,   60,   23,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315268,  122,    9,  106,   40,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   12,687543,   17,    2,   18,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511648,   45,    3,   43,   18,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115993,   91,    8,   76,   34,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315184,  153,   13,  137,   58,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   13,687526,   29,    5,   18,    8,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511629,   44,    5,   53,   26,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115931,  115,   11,   96,   49,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315086,  188,   21,  167,   83,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   14,687508,   34,    5,   27,   12,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511607,   51,    9,   53,   37,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115855,  147,   16,  119,   65,    0,    1,    1,    0,    1,    0,    0,    0,    0,    0,9314970,  232,   30,  199,  114,    0,    1,    1,    0,    1,    0,    0,    0,    0,    0
   15,687489,   40,   10,   34,   13,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0,2511563,   73,   10,   66,   45,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0,6115768,  173,   25,  151,   85,    0,    2,    1,    0,    1,    0,    0,    0,    0,    0,9314820,  286,   45,  251,  143,    0,    3,    2,    1,    1,    0,    0,    0,    0,    0
   16,687470,   38,   10,   49,   19,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,2511513,   93,   11,   76,   64,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115674,  186,   31,  200,  111,    0,    2,    0,    0,    1,    0,    0,    0,    0,    0,9314657,  317,   52,  325,  194,    0,    3,    0,    0,    1,    0,    0,    0,    0,    0
   17,687453,   37,   12,   54,   30,    0,    1,    0,    1,    0,    0,    0,    0,    0,    0,2511451,  116,   13,  100,   77,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0,6115530,  254,   38,  242,  138,    0,    3,    1,    0,    2,    0,    0,    0,    0,    0,9314434,  407,   63,  396,  245,    0,    5,    2,    1,    2,    0,    0,    0,    0,    0
   18,687409,   66,   12,   62,   37,    0,    2,    1,    0,    0,    0,    0,    0,    0,    0,2511375,  136,   16,  137,   93,    0,    2,    1,    3,    0,    0,    0,    0,    0,    0,6115376,  298,   46,  300,  182,    0,    4,    1,    0,    2,    0,    0,    0,    0,    0,9314160,  500,   74,  499,  312,    0,    8,    3,    3,    2,    0,    0,    0,    0,    0
   19,687356,   91,   13,   70,   56,    0,    2,    1,    2,    0,    0,    0,    0,    0,    0,2511272,  190,   21,  156,  118,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,6115167,  375,   54,  373,  233,    0,    7,    3,    1,    3,    0,    0,    0,    0,    0,9313795,  656,   88,  599,  407,    0,   11,    4,    3,    3,    0,    0,    0,    0,    0
