  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases
    1,687582,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511757,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116202,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315541,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    2,687582,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511757,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116198,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315537,    8,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    3,687582,    3,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511753,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116198,    3,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315533,   10,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    4,687582,    3,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511749,    7,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116196,    4,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315527,   14,    1,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    5,687581,    2,    1,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511743,    9,    0,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116194,    5,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315518,   16,    1,   10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    6,687577,    5,    1,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511740,   10,    2,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116185,   10,    0,    7,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315502,   25,    3,   15,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    7,687573,    6,    1,    5,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511734,   10,    3,    9,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116169,   21,    0,   12,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315476,   37,    4,   26,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    8,687569,    8,    2,    6,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511725,   14,    4,   13,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116143,   39,    0,   19,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315437,   61,    6,   38,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    9,687565,    7,    3,    9,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511710,   23,    5,   17,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116125,   38,    1,   36,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315400,   68,    9,   62,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   10,687559,    9,    4,   11,    3,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0,2511689,   37,    8,   16,    7,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116094,   53,    2,   49,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315342,   99,   14,   76,   14,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0
   11,687552,   12,    4,   12,    6,    0,    1,    0,    1,    0,    0,    0,    0,    0,    0,2511669,   42,    9,   29,    8,    0,    0,    0,    1,    0,    0,    0,    0,    0,    0,6116050,   74,    3,   60,   15,    0,    1,    1,    0,    1,    0,    0,    0,    0,    0,9315271,  128,   16,  101,   29,    0,    2,    1,    2,    1,    0,    0,    0,    0,    0
   12,687545,   14,    5,   13,    9,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,2511651,   44,   10,   40,   12,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116003,   93,    5,   78,   23,    0,    1,    0,    0,    1,    0,    0,    0,    0,    0,9315199,  151,   20,  131,   44,    0,    2,    0,    0,    1,    0,    0,    0,    0,    0
   13,687532,   23,    7,   12,   12,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,2511608,   67,   11,   51,   20,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0,6115946,  114,    7,   92,   43,    0,    1,    0,    0,    1,    0,    0,    0,    0,    0,9315086,  204,   25,  155,   75,    0,    3,    1,    0,    1,    0,    0,    0,    0,    0
   14,687518,   26,    7,   22,   13,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,2511569,   78,   14,   68,   28,    0,    2,    1,    0,    0,    0,    0,    0,    0,    0,6115880,  130,   13,  116,   63,    0,    1,    0,    0,    1,    0,    0,    0,    0,    0,9314967,  234,   34,  206,  104,    0,    4,    1,    0,    1,    0,    0,    0,    0,    0
