  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases
    1,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511757,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116198,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315541,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    2,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511756,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116193,    6,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315535,    7,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    3,687585,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511752,    2,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116190,    6,    0,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315527,    9,    0,    9,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    4,687583,    2,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511751,    2,    0,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116175,   16,    0,   11,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315509,   20,    0,   16,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    5,687581,    2,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511748,    3,    1,    3,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116164,   23,    0,   14,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315493,   28,    1,   20,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    6,687576,    5,    0,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511746,    4,    1,    2,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116159,   20,    0,   19,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315481,   29,    1,   26,    8,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    7,687576,    5,    0,    4,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511742,    6,    1,    4,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116144,   27,    1,   25,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315462,   38,    2,   33,   10,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    8,687575,    6,    2,    2,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511739,    7,    1,    4,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116124,   40,    6,   23,    9,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315438,   53,    9,   29,   16,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    9,687570,    9,    2,    4,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511733,   11,    1,    6,    6,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116107,   42,    9,   30,   14,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315410,   62,   12,   40,   21,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   10,687567,    8,    2,    7,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511725,   16,    2,    7,    7,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116083,   51,   11,   40,   17,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315375,   75,   15,   54,   26,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
