FID,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,Longitude,Latitude,Population
85,Bilaspur,Chhattisgarh,22,7,406,81.96166805,22.35131683,41082731
86,Bilaspur,Himachal Pradesh,2,8,30,76.67190228,31.37231343,358798380
87,Birbhum,West Bengal,19,8,334,87.66647773,23.95355915,392325587
88,Bishnupur,Manipur,14,4,275,93.80109347,24.5352207,19358702
89,Bokaro,Jharkhand,20,10,355,85.98803007,23.69153631,233434642
90,Bongaigaon,Assam,18,20,319,90.62478094,26.36520451,74575437
91,Budaun,Uttar Pradesh,9,18,149,78.94536192,28.11529642,411449687
92,Bulandshahr,Uttar Pradesh,9,11,142,78.01230464,28.35757418,397177682
93,Buldana,Maharashtra,27,4,500,76.40826554,20.51105666,285787868
94,Bundi,Rajasthan,8,23,121,75.77747856,25.47003965,114498964
95,Burhanpur,Madhya Pradesh,23,50,467,76.37019618,21.37205083,88018060
96,Buxar,Bihar,10,30,232,84.10182162,25.49143574,183655124
97,Cachar,Assam,18,17,316,92.85642248,24.81124905,192692772
98,Central,NCT of Delhi,7,6,95,77.21967505,28.6431175,48436774
99,Chamba,Himachal Pradesh,2,1,23,76.35424981,32.67745382,108351044
100,Chamoli,Uttarakhand,5,2,57,79.57873934,30.49534751,53756691
101,Champawat,Uttarakhand,5,10,65,80.06973505,29.29884699,37246318
102,Champhai,Mizoram,15,4,284,93.24001655,23.52940428,25893022
103,Chamrajnagar,Karnataka,29,24,578,77.09975469,11.95689421,12084698
104,Chandauli,Uttar Pradesh,9,65,196,83.26108699,25.13743127,232896440
105,Chandel,Manipur,14,9,280,94.09318397,24.23549165,10504593
106,Chandigarh,Chandigarh,4,1,55,76.78147199,30.73005747,107876323
107,Chandrapur,Maharashtra,27,13,509,79.44377133,20.11792765,250157535
108,Changlang,Arunanchal Pradesh,12,9,253,96.34517599,27.36264559,14310645
109,Chatra,Jharkhand,20,2,347,84.88710111,24.1735434,133881125
110,Chennai,Tamil Nadu,33,2,603,80.25230954,13.06469819,601135430
111,Chhatarpur,Madhya Pradesh,23,8,425,79.66614426,24.79665162,199167753
112,Chhindwara,Madhya Pradesh,23,38,455,78.85549031,22.12137853,266691367
113,Chikkaballapura,Karnataka,29,28,582,77.83618935,13.57823171,130576015
114,Chikmagalur,Karnataka,29,16,570,75.6913441,13.45427435,117856514
115,Chirang,Assam,18,21,320,90.61629243,26.64297361,49194396
116,Chitradurga,Karnataka,29,12,566,76.51642596,14.16750254,187487396
117,Chitrakoot,Uttar Pradesh,9,40,171,81.0896227,25.20511131,107986723
118,Chittaurgarh,Rajasthan,8,28,126,74.7797956,24.82868563,165117525
119,Chittoor,Andhra Pradesh,28,23,554,79.01430286,13.46722755,473218684
120,Churachandpur,Manipur,14,3,274,93.42687601,24.28977178,21192727
121,Churu,Rajasthan,8,4,102,74.69851594,28.34550477,215828546
