FID,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,Longitude,Latitude,Population
355,Mahesana,Gujarat,24,4,471,72.46192441,23.6089743,254481089
356,Mahoba,Uttar Pradesh,9,38,169,79.69664762,25.34427212,87507458
357,Mainpuri,Uttar Pradesh,9,17,148,79.05907402,27.18057311,293684253
358,Malappuram,Kerala,32,5,592,76.15578115,11.13206611,199635574
359,Maldah,West Bengal,19,6,332,88.09232587,25.13668054,503740241
360,Malkangiri,Odisha,21,30,399,81.95633125,18.25806751,447136601
361,Mamit,Mizoram,15,1,281,92.46718417,23.75401303,72508190
362,Mandi,Himachal Pradesh,2,5,27,76.99294357,31.63828454,8211026
363,Mandla,Madhya Pradesh,23,37,454,80.51344232,22.64041277,110535591
364,Mandsaur,Madhya Pradesh,23,16,433,75.40554251,24.21133801,118938438
365,Mandya,Karnataka,29,19,573,76.79795679,12.61035565,180136112
366,Mansa,Punjab,3,13,47,75.43894554,29.90837508,201566200
367,Marigaon,Assam,18,5,304,92.28196399,26.28476922,85714832
368,Mathura,Uttar Pradesh,9,14,145,77.62764122,27.59680698,317387209
369,Mau,Uttar Pradesh,9,61,192,83.56288024,26.0430589,240305684
370,Mayurbhanj,Odisha,21,7,376,86.41117946,21.89517161,263030216
371,Medak,Andhra Pradesh,28,4,535,78.21568584,17.88800211,319695956
372,Meerut,Uttar Pradesh,9,7,138,77.79392437,29.03572644,570768434
373,Mewat,Haryana,6,19,87,77.04656104,27.98166493,142958794
374,Mirzapur,Uttar Pradesh,9,68,199,82.61919624,24.98541328,259334564
375,Moga,Punjab,3,8,42,75.1680453,30.77001292,102884847
376,Mokokchung,Nagaland,13,2,262,94.53175615,26.47196526,11346396
377,Mon,Nagaland,13,1,261,95.02165506,26.73118001,24067276
378,Moradabad,Uttar Pradesh,9,4,135,78.70853316,28.77523155,519280470
379,Morena,Madhya Pradesh,23,2,419,77.86881696,26.41378131,233771363
380,Muktsar,Punjab,3,10,44,74.54102077,30.29464033,100649240
381,Mumbai,Maharashtra,27,23,519,72.84962287,18.95962784,99626657
382,Mumbai Suburban,Maharashtra,27,22,518,72.88506957,19.12958031,404286085
383,Munger,Bihar,10,24,226,86.52735035,25.2099672,1174731493
384,Murshidabad,West Bengal,19,7,333,88.23106664,24.16115095,155672775
385,Muzaffarnagar,Uttar Pradesh,9,2,133,77.59231899,29.43901602,859258350
386,Muzaffarpur,Bihar,10,14,216,85.33075908,26.15114465,450411351
387,Mysore,Karnataka,29,23,577,76.44211918,12.20880181,551311752
388,Nabarangapur,Odisha,21,28,397,82.33766375,19.5880421,344712675
389,Nadia,West Bengal,19,10,336,88.52144942,23.48269368,143277575
390,Nagaon,Assam,18,6,305,92.84251811,26.22295519,576149071
632,Nagappattinam,Tamil Nadu,33,17,618,79.73889979,10.8494294,289856121
391,Nagaur,Rajasthan,8,14,112,74.18794832,27.06403952,199265733
392,Nagpur,Maharashtra,27,9,505,79.08757388,21.17628465,351327036
393,Nainital,Uttarakhand,5,11,66,79.45472208,29.31270884,517587205
394,Nalanda,Bihar,10,27,229,85.45586183,25.22082117,97317909
395,Nalbari,Assam,18,24,323,91.3876684,26.36792543,292799670
396,Nalgonda,Andhra Pradesh,28,8,539,79.28868094,17.0677993,81432679
397,Namakkal,Tamil Nadu,33,8,609,78.13613873,11.31625221,376273376
398,Nanded,Maharashtra,27,15,511,77.62400849,19.11593248,216718649
399,Nandurbar,Maharashtra,27,1,497,74.218699,21.54964919,394467353
400,Narayanpur,Chhattisgarh,22,16,415,81.08119231,19.60426478,179704171
401,Narmada,Gujarat,24,20,487,73.64753261,21.73537158,16422052
402,Narsimhapur,Madhya Pradesh,23,35,452,79.08728049,22.93456586,65161047
403,Nashik,Maharashtra,27,20,516,74.0714197,20.25921569,138019759
404,Navsari,Gujarat,24,23,490,73.08972887,20.81517315,894520222
405,Nawada,Bihar,10,35,237,85.59413561,24.81103751,152173084
406,Nayagarh,Odisha,21,16,385,84.99943794,20.21305724,219228877
407,Neemuch,Madhya Pradesh,23,15,432,75.14462519,24.60564259,104172391
409,New Delhi,NCT of Delhi,7,5,94,77.21397064,28.61088331,104608472
637,Nicobar,Andaman & Nicobar Island,35,1,638,93.60285082,7.51687164,13078302
410,Nizamabad,Andhra Pradesh,28,2,533,78.14394121,18.5261024,2780709
411,North,NCT of Delhi,7,2,91,77.21153671,28.71056338,272407346
412,North,Sikkim,11,1,241,88.53244702,27.74339564,104107531
639,North & Middle Andaman,Andaman & Nicobar Island,35,2,639,92.86752068,12.83790179,2891109
413,North 24 Parganas,West Bengal,19,11,337,88.78032294,22.46495184,10710214
415,North East,NCT of Delhi,7,3,92,77.27397628,28.70769168,264041759
416,North Goa,Goa,30,1,585,73.98065656,15.55253332,94222559
417,North Tripura,Tripura,16,4,292,92.15552014,24.13050277,74223536
418,North West,NCT of Delhi,7,1,90,77.08686662,28.76877852,1145889401
419,Nuapada,Odisha,21,25,394,82.57831467,20.46566244,394370753
420,Osmanabad,Maharashtra,27,29,525,76.03878844,18.18906671,77982668
421,Pakur,Jharkhand,20,8,353,87.66412956,24.56326109,161906254
422,Palakkad,Kerala,32,6,593,76.55858365,10.79464117,104068891
423,Palamu,Jharkhand,20,13,358,84.16743052,24.20241567,381965894
424,Pali,Rajasthan,8,20,118,73.52064868,25.70787347,207810720
425,Palwal,Haryana,6,21,89,77.31834954,28.04749731,231651676
426,Panch Mahals,Gujarat,24,17,484,73.66414201,22.9039581,125398238
427,Panchkula,Haryana,6,1,69,76.97762602,30.68598484,66106350
428,Panipat,Haryana,6,7,75,76.92633758,29.33258703,256098454
429,Panna,Madhya Pradesh,23,9,426,80.19174444,24.42046119,135763451
430,Papum Pare,Arunanchal Pradesh,12,4,248,93.59693926,27.28879071,121984108
431,Parbhani,Maharashtra,27,17,513,76.68276416,19.28573411,18402358
432,Pashchim Champaran,Bihar,10,1,203,84.34121023,27.07924904,221028402
433,Pashchim Medinipur,West Bengal,19,18,344,87.26702516,22.41427119,710268937
434,Pashchimi Singhbhum,Jharkhand,20,23,368,85.51959369,22.41970292,479136142
435,Patan,Gujarat,24,3,470,71.75242877,23.76935629,155649315
436,Pathanamthitta,Kerala,32,12,599,76.92896724,9.284060659,146377065
437,Patiala,Punjab,3,14,48,76.35396754,30.28145474,149280594
438,Patna,Bihar,10,28,230,85.22215908,25.45643742,222576767
439,Perambalur,Tamil Nadu,33,14,615,78.893015,11.27334045,702931454
440,Peren,Nagaland,13,11,271,93.62352162,25.49957013,66683192
441,Phek,Nagaland,13,6,266,94.52552146,25.66083051,6804802
442,Pilibhit,Uttar Pradesh,9,20,151,79.96169771,28.54182543,15242148
443,Pithoragarh,Uttarakhand,5,7,62,80.34770389,30.11197666,214368501
444,Porbandar,Gujarat,24,11,478,69.77804896,21.65347438,49630478
445,Prakasam,Andhra Pradesh,28,18,549,79.51579653,15.62133716,60340692
446,Pratapgarh,Rajasthan,8,33,131,74.68095958,24.02942545,383162358
447,Pratapgarh,Uttar Pradesh,9,42,173,81.83144276,25.87255547,101256442
634,Puducherry,Puducherry,34,2,635,79.73299852,11.91209815,328120883
448,Pudukkottai,Tamil Nadu,33,20,621,78.88124311,10.35862159,100047558
449,Pulwama,Jammu & Kashmir,1,12,12,75.03727735,33.9329532,186594533
450,Punch,Jammu & Kashmir,1,5,5,74.19916196,33.70178153,47328630
451,Pune,Maharashtra,27,25,521,74.06908184,18.57088499,61142474
452,Purba Champaran,Bihar,10,2,204,84.92467842,26.61844975,1037149196
453,Purba Medinipur,West Bengal,19,19,345,87.77439435,22.02075917,626622731
454,Purbi Singhbhum,Jharkhand,20,12,357,86.45266035,22.58256573,618893327
455,Puri,Odisha,21,18,387,85.7208942,19.87654777,270487759
456,Purnia,Bihar,10,9,211,87.40707562,25.81613695,190889107
457,Puruliya,West Bengal,19,14,340,86.41832557,23.27736962,377302859
458,Rae Bareli,Uttar Pradesh,9,27,158,81.23135983,26.22879529,356932614
459,Raichur,Karnataka,29,5,559,76.89314678,16.08947384,363835396
460,Raigarh,Chhattisgarh,22,4,403,83.3060318,22.08582254,195757762
461,Raigarh,Maharashtra,27,24,520,73.21483678,18.51719451,179617231
462,Raipur,Chhattisgarh,22,11,410,82.17395746,21.07128694,379619886
463,Raisen,Madhya Pradesh,23,29,446,78.11836661,23.21706965,502895678
465,Rajgarh,Madhya Pradesh,23,25,442,76.73464442,23.86118316,171284764
466,Rajkot,Gujarat,24,9,476,70.77503975,22.26273779,201146679
467,Rajnandgaon,Chhattisgarh,22,9,408,80.8192712,21.03940616,405094767
464,Rajouri,Jammu & Kashmir,1,6,6,74.39877507,33.3101741,196504344
468,Rajsamand,Rajasthan,8,25,123,73.89230193,25.21632526,79489633
469,Ramanagara,Karnataka,29,30,584,77.33649865,12.67854715,131536498
470,Ramanathapuram,Tamil Nadu,33,25,626,78.67328364,9.440133768,118044195
471,Ramban,Jammu & Kashmir,1,17,17,75.18609827,33.32300521,160974752
472,Ramgarh,Jharkhand,20,16,361,85.56056784,23.63072648,28544011
473,Rampur,Uttar Pradesh,9,5,136,79.10547475,28.79548129,99934398
474,Ranchi,Jharkhand,20,19,364,85.3707643,23.33131153,260573808
475,Rangareddy,Andhra Pradesh,28,6,537,78.17739359,17.28804364,317699089
476,Ratlam,Madhya Pradesh,23,17,434,75.09008721,23.50100233,687451944
477,Ratnagiri,Maharashtra,27,32,528,73.4568332,17.27372751,174483614
478,Rayagada,Odisha,21,27,396,83.5138448,19.36227781,206600456
479,Reasi,Jammu & Kashmir,1,20,20,74.82230442,33.20740962,104277271
480,Rewa,Madhya Pradesh,23,13,430,81.58962307,24.7551592,37587179
481,Rewari,Haryana,6,17,85,76.5433437,28.23575909,276398318
482,Ri Bhoi,Meghalaya,17,5,297,91.89102405,25.87043721,122120728
483,Rohtak,Haryana,6,14,82,76.52917964,28.91453608,25692922
484,Rohtas,Bihar,10,32,234,84.02773516,24.97941069,126607122
485,Rudraprayag,Uttarakhand,5,3,58,79.05890179,30.53030238,325747275
486,Rupnagar,Punjab,3,17,51,76.48641818,31.05937101,25146440
487,Sabar Kantha,Gujarat,24,5,472,73.1636904,23.65934619,71734008
488,Sagar,Madhya Pradesh,23,10,427,78.75887283,23.84803034,279501948
489,Saharanpur,Uttar Pradesh,9,1,132,77.54769057,29.94957663,269294056
490,Saharsa,Bihar,10,12,214,86.58979824,25.81658729,393121849
491,Sahibganj,Jharkhand,20,7,352,87.67955882,25.0080643,223849131
492,Sahibzada Ajit Singh Nagar,Punjab,3,18,52,76.73775933,30.68091323,127822906
493,Saiha,Mizoram,15,8,288,93.0121745,22.3766978,101329582
494,Salem,Tamil Nadu,33,7,608,78.22214642,11.67405772,5417897
495,Samastipur,Bihar,10,19,221,85.90365412,25.77696538,416187242
496,Samba,Jammu & Kashmir,1,22,22,75.10929324,32.57523102,464890357
497,Sambalpur,Odisha,21,3,372,84.28093389,21.45191195,31541380
498,Sangli,Maharashtra,27,35,531,74.76990134,17.11201788,118242916
499,Sangrur,Punjab,3,19,53,75.86861892,30.21352017,353212122
500,Sant Kabir Nagar,Uttar Pradesh,9,55,186,83.03481447,26.79015984,61882157
501,Sant Ravi Das Nagar(bhadohi),Uttar Pradesh,9,67,198,82.46422596,25.34807357,178303467
502,Saraikela-kharsawan,Jharkhand,20,24,369,85.95155974,22.84493462,176853082
503,Saran (chhapra),Bihar,10,17,219,84.82531107,25.90465547,136182973
504,Satara,Maharashtra,27,31,527,74.17378906,17.66858819,445550976
505,Satna,Madhya Pradesh,23,12,429,80.83333719,24.53272294,358599659
629,Sawai Madhopur,Rajasthan,8,10,108,76.46792131,26.21685283,267789851
506,Sehore,Madhya Pradesh,23,28,445,77.12858478,22.99118514,160825711
507,Senapati,Manipur,14,1,272,94.04015006,25.19650691,162742537
508,Seoni,Madhya Pradesh,23,39,456,79.6902374,22.31565048,15969411
509,Serchhip,Mizoram,15,5,285,92.95920877,23.2659558,158500404
510,Shahdol,Madhya Pradesh,23,43,460,81.47276819,23.62900051,5077036
511,Shahid Bhagat Singh Nagar,Punjab,3,5,39,76.15596325,31.10912641,132254100
512,Shahjahanpur,Uttar Pradesh,9,21,152,79.84493285,27.97573934,177617604
513,Shajapur,Madhya Pradesh,23,19,436,76.3456801,23.57968178,336315349
514,Sheikhpura,Bihar,10,26,228,85.82891922,25.13194273,171980286
515,Sheohar,Bihar,10,3,205,85.28993039,26.52704186,68042496
516,Sheopur,Madhya Pradesh,23,1,418,77.01043403,25.75246646,86744316
517,Shimla,Himachal Pradesh,2,11,33,77.63238856,31.19704276,79419252
518,Shimoga,Karnataka,29,14,568,75.2206504,14.04355283,87152797
519,Shivpuri,Madhya Pradesh,23,6,423,77.81250758,25.36267428,176904142
520,Shrawasti,Uttar Pradesh,9,50,181,81.88396674,27.65469691,218922516
521,Shupiyan,Jammu & Kashmir,1,13,13,74.81868788,33.7306683,118320196
523,Siddharth Nagar,Uttar Pradesh,9,53,184,82.87344265,27.27405417,29065652
524,Sidhi,Madhya Pradesh,23,45,462,81.83528342,24.21978412,254761230
525,Sikar,Rajasthan,8,13,111,75.28754483,27.63659691,139852404
526,Simdega,Jharkhand,20,22,367,84.56636855,22.58007306,300769196
527,Sindhudurg,Maharashtra,27,33,529,73.73987562,16.13431533,62039477
528,Singrauli,Madhya Pradesh,23,46,463,82.42072867,24.2166696,91313510
529,Sirmaur,Himachal Pradesh,2,10,32,77.43096081,30.66755813,144140078
530,Sirohi,Rajasthan,8,19,117,72.77431394,24.75890553,52339426
531,Sirsa,Haryana,6,11,79,74.90146501,29.61479288,113509501
532,Sitamarhi,Bihar,10,4,206,85.53969288,26.57600057,154487351
533,Sitapur,Uttar Pradesh,9,23,154,80.85739028,27.5177162,451534675
534,Sivaganga,Tamil Nadu,33,21,622,78.59866023,9.915087966,471362578
522,Sivasagar,Assam,18,12,311,94.81999412,27.00725362,156153016
535,Siwan,Bihar,10,16,218,84.38954904,26.16075886,124784137
536,Solan,Himachal Pradesh,2,9,31,76.90954192,31.04292367,384379521
537,Solapur,Maharashtra,27,30,526,75.48290076,17.78975555,68787699
539,Sonbhadra,Uttar Pradesh,9,69,200,83.05351613,24.40212244,500523450
540,Sonipat,Haryana,6,8,76,76.87949527,29.06171982,207480899
541,Sonitpur,Assam,18,7,306,92.93925073,26.78236562,168204594
542,South,NCT of Delhi,7,9,98,77.22738598,28.5013613,193019833
543,South,Sikkim,11,3,243,88.38787367,27.28675917,342715809
544,South 24 Parganas,West Bengal,19,17,343,88.41689566,22.11595816,26439504
638,South Andaman,Andaman & Nicobar Island,35,3,640,92.64895997,11.51926361,13330842
545,South Garo Hills,Meghalaya,17,3,295,90.58529661,25.30162018,14968908
546,South Goa,Goa,30,2,586,74.11843614,15.1963552,65719949
547,South Tripura,Tripura,16,2,290,91.60955035,23.3684511,91681971
548,South West,NCT of Delhi,7,8,97,77.02736345,28.57237732,912634160
408,Sri Potti Sriramulu Nellore,Andhra Pradesh,28,19,550,79.73440105,14.42680196,422807123
549,Srikakulam,Andhra Pradesh,28,11,542,83.98809559,18.57856337,358830120
550,Srinagar,Jammu & Kashmir,1,10,10,74.91476122,34.17577896,306171913
538,Subarnapur,Odisha,21,23,392,83.82486297,20.93153566,151934343
551,Sultanpur,Uttar Pradesh,9,48,179,82.02011461,26.27492667,75861601
552,Sundargarh,Odisha,21,5,374,84.51057743,22.07977621,361003627
553,Supaul,Bihar,10,6,208,86.80009102,26.24769738,226973461
554,Surat,Gujarat,24,25,492,73.07199873,21.26595801,264550981
555,Surendranagar,Gujarat,24,8,475,71.54011327,22.79819209,673120599
556,Surguja,Chhattisgarh,22,2,401,83.21940102,23.35776481,189296581
557,Tamenglong,Manipur,14,2,273,93.52725954,24.94727262,267313749
636,Tapi,Gujarat,24,26,493,73.63118875,21.19157289,10681234
558,Tarn Taran,Punjab,3,16,50,74.84460868,31.33732481,89533304
559,Tawang,Arunanchal Pradesh,12,1,245,91.95357751,27.66185985,120268762
560,Tehri Garhwal,Uttarakhand,5,4,59,78.53701808,30.43735012,2841429
561,Thane,Maharashtra,27,21,517,73.15089971,19.59915471,66408571
562,Thanjavur,Tamil Nadu,33,19,620,79.2413046,10.67151812,1401339253
563,The Dangs,Gujarat,24,22,489,73.701288,20.80435256,267186789
564,The Nilgiris,Tamil Nadu,33,10,611,76.64187724,11.45589347,24127997
565,Theni,Tamil Nadu,33,23,624,77.43935833,9.890242533,97177149
566,Thiruvallur,Tamil Nadu,33,1,602,79.93996842,13.24308549,167500792
567,Thiruvananthapuram,Kerala,32,14,601,77.01500032,8.608457699,458013795
568,Thiruvarur,Tamil Nadu,33,18,619,79.53599608,10.67988627,392775468
569,Thoothukkudi,Tamil Nadu,33,26,627,78.00442972,8.890838611,157215620
570,Thoubal,Manipur,14,5,276,93.97161156,24.53082565,208565583
571,Thrissur,Kerala,32,7,594,76.31615029,10.47117799,41394612
572,Tikamgarh,Madhya Pradesh,23,7,424,78.94666277,24.98830438,336002088
573,Tinsukia,Assam,18,10,309,95.62650005,27.57857641,161634394
574,Tirap,Arunanchal Pradesh,12,10,254,95.44092817,26.94712423,147545929
575,Tiruchirappalli,Tamil Nadu,33,13,614,78.5704387,10.8889135,11057975
576,Tirunelveli,Tamil Nadu,33,27,628,77.54195376,8.798696916,320786159
577,Tiruppur,Tamil Nadu,33,32,633,77.40541545,10.83812906,328217483
578,Tiruvannamalai,Tamil Nadu,33,5,606,79.16769263,12.43108324,313915117
579,Tonk,Rajasthan,8,22,120,75.67186565,26.14577971,280590772
580,Tuensang,Nagaland,13,7,267,94.90575241,26.20019186,161072732
581,Tumkur,Karnataka,29,17,571,76.94766688,13.52022765,16419292
582,Udaipur,Rajasthan,8,32,130,73.70640303,24.40765517,252815423
583,Udalguri,Assam,18,27,326,92.03726765,26.73006708,345139097
585,Udham Singh Nagar,Uttarakhand,5,12,67,79.52346566,29.02745646,90595908
584,Udhampur,Jammu & Kashmir,1,19,19,75.32763435,32.89404612,189118561
586,Udupi,Karnataka,29,15,569,74.88349797,13.46668875,57987784
587,Ujjain,Madhya Pradesh,23,18,435,75.66839186,23.3316892,123881614
588,Ukhrul,Manipur,14,8,279,94.43398469,25.02025154,229907351
589,Umaria,Madhya Pradesh,23,14,431,80.97189343,23.56440367,14229225
590,Una,Himachal Pradesh,2,7,29,76.21008011,31.58065937,80390775
591,Unnao,Uttar Pradesh,9,25,156,80.5593504,26.60917626,60513192
592,Upper Siang,Arunanchal Pradesh,12,8,252,94.91805527,28.83355473,329516067
593,Upper Subansiri,Arunanchal Pradesh,12,5,249,93.93673687,28.28995249,2058967
274,Uttar Bastar Kanker,Chhattisgarh,22,14,413,81.12918752,20.14772106,6390800
594,Uttar Dinajpur,West Bengal,19,4,330,88.15824826,25.88097974,85255291
595,Uttara Kannada,Karnataka,29,9,563,74.6229175,14.79409032,355605050
596,Uttarkashi,Uttarakhand,5,1,56,78.60388419,30.97305489,165869627
597,Vadodara,Gujarat,24,19,486,73.53191879,22.23308136,35278432
598,Vaishali,Bihar,10,18,220,85.37001487,25.76231404,439233316
599,Valsad,Gujarat,24,24,491,73.11470874,20.41851924,399988751
600,Varanasi,Uttar Pradesh,9,66,197,82.91758265,25.38805005,185166228
601,Vellore,Tamil Nadu,33,4,605,79.01037444,12.81226915,397568223
602,Vidisha,Madhya Pradesh,23,26,443,77.81335959,23.89270852,485600083
603,Viluppuram,Tamil Nadu,33,6,607,79.29214791,11.9734676,188613479
604,Virudunagar,Tamil Nadu,33,24,625,77.94308994,9.48397308,387225090
605,Visakhapatnam,Andhra Pradesh,28,13,544,82.69247318,17.89089871,221962665
606,Vizianagaram,Andhra Pradesh,28,12,543,83.3792756,18.46737991,513053890
607,Warangal,Andhra Pradesh,28,9,540,79.79922608,17.95516536,270930741
608,Wardha,Maharashtra,27,8,504,78.58763904,20.79577159,386089347
609,Washim,Maharashtra,27,6,502,77.21904224,20.23755967,142352972
610,Wayanad,Kerala,32,3,590,76.09813326,11.71124639,139082362
611,West,NCT of Delhi,7,7,96,77.06570012,28.65532055,87230077
612,West,Sikkim,11,2,242,88.17794316,27.34912247,274602933
613,West Garo Hills,Meghalaya,17,1,293,90.14481355,25.58504965,12055718
614,West Godavari,Andhra Pradesh,28,15,546,81.40226251,16.89461976,68838759
615,West Kameng,Arunanchal Pradesh,12,2,246,92.41097523,27.3028689,445716576
616,West Khasi Hills,Meghalaya,17,4,296,91.26078192,25.52649417,6929002
617,West Nimar,Madhya Pradesh,23,23,440,75.77450751,21.92047883,38467622
618,West Siang,Arunanchal Pradesh,12,6,250,94.51161349,28.3208698,8754748
619,West Tripura,Tripura,16,1,289,91.46487125,23.8022328,190951207
620,Wokha,Nagaland,13,4,264,94.19262889,26.18487205,7895005
124,Y.s.r.,Andhra Pradesh,28,20,551,78.78356473,14.45986858,322563605
621,Yadgir,Karnataka,29,26,580,76.91363632,16.62641154,121741227
625,Yamunanagar,Haryana,6,3,71,77.30498208,30.23643816,140993668
635,Yanam,Puducherry,34,1,634,82.2545597,16.72664917,5313017
622,Yavatmal,Maharashtra,27,14,510,78.16222724,20.08394131,334123902
623,Zunheboto,Nagaland,13,3,263,94.52528152,26.03163364,12080558
,,,,,,,,
