Date,Baseline,BaselineTotal,Moderate,ModerateTotal,High,HighTotal
2/15/2021,10000,516620,25000,636620,25000,636620
2/16/2021,10000,526620,25000,661620,26000,662620
2/17/2021,10000,536620,25000,686620,27000,689620
2/18/2021,10000,546620,25000,711620,28000,717620
2/19/2021,10000,556620,25000,736620,29000,746620
2/20/2021,10000,566620,25000,761620,30000,776620
2/21/2021,10000,576620,25000,786620,31000,807620
2/22/2021,10000,586620,25000,811620,32000,839620
2/23/2021,10000,596620,25000,836620,33000,872620
2/24/2021,10000,606620,25000,861620,34000,906620
2/25/2021,10000,616620,25000,886620,35000,941620
2/26/2021,10000,626620,25000,911620,36000,977620
2/27/2021,10000,636620,25000,936620,37000,1014620
2/28/2021,10000,646620,25000,961620,38000,1052620
3/1/2021,10000,656620,25000,986620,39000,1091620
3/2/2021,10000,666620,25000,1011620,40000,1131620
3/3/2021,10000,676620,25000,1036620,40000,1171620
3/4/2021,10000,686620,25000,1061620,40000,1211620
3/5/2021,10000,696620,25000,1086620,40000,1251620
3/6/2021,10000,706620,25000,1111620,40000,1291620
3/7/2021,10000,716620,25000,1136620,40000,1331620
3/8/2021,10000,726620,25000,1161620,40000,1371620
3/9/2021,10000,736620,25000,1186620,40000,1411620
3/10/2021,10000,746620,25000,1211620,40000,1451620
3/11/2021,10000,756620,25000,1236620,40000,1491620
3/12/2021,10000,766620,25000,1261620,40000,1531620
3/13/2021,10000,776620,25000,1286620,40000,1571620
3/14/2021,10000,786620,25000,1311620,40000,1611620
3/15/2021,10000,796620,25000,1336620,40000,1651620
3/16/2021,10000,806620,25000,1361620,40000,1691620
3/17/2021,10000,816620,25000,1386620,40000,1731620
3/18/2021,10000,826620,25000,1411620,40000,1771620
3/19/2021,10000,836620,25000,1436620,40000,1811620
3/20/2021,10000,846620,25000,1461620,40000,1851620
3/21/2021,10000,856620,25000,1486620,40000,1891620
3/22/2021,10000,866620,25000,1511620,40000,1931620
3/23/2021,10000,876620,25000,1536620,40000,1971620
3/24/2021,10000,886620,25000,1561620,40000,2011620
3/25/2021,10000,896620,25000,1586620,40000,2051620
3/26/2021,10000,906620,25000,1611620,40000,2091620
3/27/2021,10000,916620,25000,1636620,40000,2131620
3/28/2021,10000,926620,25000,1661620,40000,2171620
3/29/2021,10000,936620,25000,1686620,40000,2211620
3/30/2021,10000,946620,25000,1711620,40000,2251620
3/31/2021,10000,956620,25000,1736620,40000,2291620
4/1/2021,10000,966620,25000,1761620,40000,2331620
4/2/2021,10000,976620,25000,1786620,40000,2371620
4/3/2021,10000,986620,25000,1811620,40000,2411620
4/4/2021,10000,996620,25000,1836620,40000,2451620
4/5/2021,10000,1006620,25000,1861620,40000,2491620
4/6/2021,10000,1016620,25000,1886620,40000,2531620
4/7/2021,10000,1026620,25000,1911620,40000,2571620
4/8/2021,10000,1036620,25000,1936620,40000,2611620
4/9/2021,10000,1046620,25000,1961620,40000,2651620
4/10/2021,10000,1056620,25000,1986620,40000,2691620
4/11/2021,10000,1066620,25000,2011620,40000,2731620
4/12/2021,10000,1076620,25000,2036620,40000,2771620
4/13/2021,10000,1086620,25000,2061620,40000,2811620
4/14/2021,10000,1096620,25000,2086620,40000,2851620
4/15/2021,10000,1106620,25000,2111620,40000,2891620
4/16/2021,10000,1116620,25000,2136620,40000,2931620
4/17/2021,10000,1126620,25000,2161620,40000,2971620
4/18/2021,10000,1136620,25000,2186620,40000,3011620
4/19/2021,10000,1146620,25000,2211620,40000,3051620
4/20/2021,10000,1156620,25000,2236620,40000,3091620
4/21/2021,10000,1166620,25000,2261620,40000,3131620
4/22/2021,10000,1176620,25000,2286620,40000,3171620
4/23/2021,10000,1186620,25000,2311620,40000,3211620
4/24/2021,10000,1196620,25000,2336620,40000,3251620
4/25/2021,10000,1206620,25000,2361620,40000,3291620
4/26/2021,10000,1216620,25000,2386620,40000,3331620
4/27/2021,10000,1226620,25000,2411620,40000,3371620
4/28/2021,10000,1236620,25000,2436620,40000,3411620
4/29/2021,10000,1246620,25000,2461620,40000,3451620
4/30/2021,10000,1256620,25000,2486620,40000,3491620
5/1/2021,10000,1266620,25000,2511620,40000,3531620
5/2/2021,10000,1276620,25000,2536620,40000,3571620
5/3/2021,10000,1286620,25000,2561620,40000,3611620
5/4/2021,10000,1296620,25000,2586620,40000,3651620
5/5/2021,10000,1306620,25000,2611620,40000,3691620
5/6/2021,10000,1316620,25000,2636620,40000,3731620
5/7/2021,10000,1326620,25000,2661620,40000,3771620
5/8/2021,10000,1336620,25000,2686620,40000,3811620
5/9/2021,10000,1346620,25000,2711620,40000,3851620
5/10/2021,10000,1356620,25000,2736620,40000,3891620
5/11/2021,10000,1366620,25000,2761620,40000,3931620
5/12/2021,10000,1376620,25000,2786620,40000,3971620
5/13/2021,10000,1386620,25000,2811620,40000,4011620
5/14/2021,10000,1396620,25000,2836620,40000,4051620
5/15/2021,10000,1406620,25000,2861620,40000,4091620
5/16/2021,10000,1416620,25000,2886620,40000,4131620
5/17/2021,10000,1426620,25000,2911620,40000,4171620
5/18/2021,10000,1436620,25000,2936620,40000,4211620
5/19/2021,10000,1446620,25000,2961620,40000,4251620
5/20/2021,10000,1456620,25000,2986620,40000,4291620
5/21/2021,10000,1466620,25000,3011620,40000,4331620
5/22/2021,10000,1476620,25000,3036620,40000,4371620
5/23/2021,10000,1486620,25000,3061620,40000,4411620
5/24/2021,10000,1496620,25000,3086620,40000,4451620
5/25/2021,10000,1506620,25000,3111620,40000,4491620
5/26/2021,10000,1516620,25000,3136620,40000,4531620
5/27/2021,10000,1526620,25000,3161620,40000,4571620
5/28/2021,10000,1536620,25000,3186620,40000,4611620
5/29/2021,10000,1546620,25000,3211620,40000,4651620
5/30/2021,10000,1556620,25000,3236620,40000,4691620
5/31/2021,10000,1566620,25000,3261620,40000,4731620
6/1/2021,10000,1576620,25000,3286620,40000,4771620
6/2/2021,10000,1586620,25000,3311620,40000,4811620
6/3/2021,10000,1596620,25000,3336620,40000,4851620
6/4/2021,10000,1606620,25000,3361620,40000,4891620
6/5/2021,10000,1616620,25000,3386620,40000,4931620
6/6/2021,10000,1626620,25000,3411620,40000,4971620
6/7/2021,10000,1636620,25000,3436620,40000,5011620
6/8/2021,10000,1646620,25000,3461620,40000,5051620
6/9/2021,10000,1656620,25000,3486620,40000,5091620
6/10/2021,10000,1666620,25000,3511620,40000,5131620
6/11/2021,10000,1676620,25000,3536620,40000,5171620
6/12/2021,10000,1686620,25000,3561620,40000,5211620
6/13/2021,10000,1696620,25000,3586620,40000,5251620
6/14/2021,10000,1706620,25000,3611620,40000,5291620
6/15/2021,10000,1716620,25000,3636620,40000,5331620
6/16/2021,10000,1726620,25000,3661620,40000,5371620
6/17/2021,10000,1736620,25000,3686620,40000,5411620
6/18/2021,10000,1746620,25000,3711620,40000,5451620
6/19/2021,10000,1756620,25000,3736620,40000,5491620
6/20/2021,10000,1766620,25000,3761620,40000,5531620
6/21/2021,10000,1776620,25000,3786620,40000,5571620
6/22/2021,10000,1786620,25000,3811620,40000,5611620
6/23/2021,10000,1796620,25000,3836620,40000,5651620
6/24/2021,10000,1806620,25000,3861620,40000,5691620
6/25/2021,10000,1816620,25000,3886620,40000,5731620
6/26/2021,10000,1826620,25000,3911620,40000,5771620
6/27/2021,10000,1836620,25000,3936620,40000,5811620
6/28/2021,10000,1846620,25000,3961620,40000,5851620
6/29/2021,10000,1856620,25000,3986620,40000,5891620
6/30/2021,10000,1866620,25000,4011620,40000,5931620
