state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,encounters_rate_norm,daily_encounter_diff,AverageDiff
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/17/2020,3,POST,D-,1.7,-0.349245286,D,2,-0.558533396,D,2,45.18376642,0.18395608,-0.81604392,-0.574607534
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/18/2020,4,POST,D+,2.3,-0.414439275,C,3,-0.644269859,C,3,35.73317248,0.14548,-0.85452,-0.637743045
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/19/2020,5,POST,C-,2.7,-0.510010323,C,3,-0.659360457,B,4,34.31591891,0.139709954,-0.860290046,-0.676553609
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/20/2020,6,POST,C,3,-0.543382798,C,3,-0.703056164,A,5,26.39307779,0.107453794,-0.892546206,-0.712995056
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/21/2020,7,POST,C+,3.3,-0.577157603,B,4,-0.710921385,A,5,14.88930037,0.060618615,-0.939381385,-0.742486791
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/22/2020,1,POST,C+,3.3,-0.633992878,B,4,-0.750979103,A,5,13.21794326,0.05381404,-0.94618596,-0.777052647
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/23/2020,2,POST,C+,3.3,-0.573125188,B,4,-0.702126678,A,5,21.89705558,0.089149197,-0.910850803,-0.72870089
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/24/2020,3,POST,C+,3.3,-0.584400135,B,4,-0.708240708,A,5,23.92496291,0.09740539,-0.90259461,-0.731745151
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/25/2020,4,POST,C+,3.3,-0.600093049,B,4,-0.750217818,A,5,19.70787303,0.080236407,-0.919763593,-0.756691487
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/26/2020,5,POST,C+,3.3,-0.615275423,B,4,-0.741210286,A,5,22.48668317,0.09154974,-0.90845026,-0.754978656
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/27/2020,6,POST,C+,3.3,-0.635815471,B,4,-0.719482416,A,5,23.40333486,0.095281692,-0.904718308,-0.753338731
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/28/2020,7,POST,C+,3.3,-0.675887793,B,4,-0.779878665,A,5,11.84609728,0.048228862,-0.951771138,-0.802512532
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/29/2020,1,POST,C+,3.3,-0.699518977,B,4,-0.785809109,A,5,10.73685479,0.043712817,-0.956287183,-0.813871756
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/30/2020,2,POST,C+,3.3,-0.606420624,B,4,-0.712152666,A,5,8.035424674,0.03271452,-0.96728548,-0.761952923
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,3/31/2020,3,POST,C+,3.3,-0.626514503,B,4,-0.770326267,A,5,6.453424242,0.026273742,-0.973726258,-0.790189009
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/1/2020,4,POST,C+,3.3,-0.634463126,B,4,-0.762028757,A,5,6.524785848,0.026564276,-0.973435724,-0.789975869
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/2/2020,5,POST,C+,3.3,-0.630879307,B,4,-0.776551361,A,5,6.833186162,0.027819862,-0.972180138,-0.793203602
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/3/2020,6,POST,C+,3.3,-0.65158642,B,4,-0.765513682,A,5,7.562710854,0.030789966,-0.969210034,-0.795436712
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/4/2020,7,POST,C+,3.3,-0.665698383,B,4,-0.827186069,A,5,3.920087249,0.0159598,-0.9840402,-0.825641551
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/5/2020,1,POST,B-,3.7,-0.751972195,A,5,-0.852673457,A,5,4.036220308,0.016432611,-0.983567389,-0.86273768
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/6/2020,2,POST,C+,3.3,-0.633761743,B,4,-0.802571081,A,5,5.87457708,0.023917089,-0.976082911,-0.804138578
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/7/2020,3,POST,C+,3.3,-0.626423778,B,4,-0.826504509,A,5,5.203005283,0.021182928,-0.978817072,-0.810581786
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/8/2020,4,POST,C+,3.3,-0.636205615,B,4,-0.81599139,A,5,6.932274251,0.028223278,-0.971776722,-0.807991242
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/9/2020,5,POST,C+,3.3,-0.65299554,B,4,-0.825398863,A,5,6.366153999,0.02591844,-0.97408156,-0.817491988
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/10/2020,6,POST,C+,3.3,-0.647956482,B,4,-0.828222944,A,5,6.448651651,0.026254311,-0.973745689,-0.816641705
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/11/2020,7,POST,C+,3.3,-0.664592847,B,4,-0.809479665,A,5,4.346893284,0.01769745,-0.98230255,-0.818791687
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/12/2020,1,POST,B-,3.7,-0.735935703,A,5,-0.867727034,A,5,2.79239207,0.011368629,-0.988631371,-0.864098036
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/13/2020,2,POST,C+,3.3,-0.659034616,B,4,-0.81457305,A,5,4.98323881,0.020288195,-0.979711805,-0.817773157
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/14/2020,3,POST,C+,3.3,-0.640150505,B,4,-0.811525487,A,5,6.434561143,0.026196945,-0.973803055,-0.808493016
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/15/2020,4,POST,C+,3.3,-0.62644089,B,4,-0.832080984,A,5,6.790460105,0.027645912,-0.972354088,-0.810291987
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/16/2020,5,POST,C+,3.3,-0.656753867,B,4,-0.832770037,A,5,6.340245645,0.02581296,-0.97418704,-0.821236981
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/17/2020,6,POST,C+,3.3,-0.664174749,B,4,-0.810368049,A,5,7.305445449,0.029742565,-0.970257435,-0.814933411
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/18/2020,7,POST,C+,3.3,-0.651216162,B,4,-0.84182612,A,5,4.048492686,0.016482576,-0.983517424,-0.825519902
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/19/2020,1,POST,C+,3.3,-0.662773485,B,4,-0.868041339,A,5,3.510326183,0.014291545,-0.985708455,-0.838841093
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/20/2020,2,POST,C,3,-0.547630688,C,3,-0.812374099,A,5,7.63225433,0.031073098,-0.968926902,-0.776310563
DC,11,District of Columbia,11001,District of Columbia,702455,2021-01-25 13:52:04.598522 UTC,4/21/2020,3,POST,C+,3.3,-0.574823753,B,4,-0.83109218,A,5,15.16108329,0.061725121,-0.938274879,-0.781396937
