Date,VisitEnc,RestNum50,RestNum25,RestNumClosed
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0.06,0.06,0.06
2020-02-19,0,0.7,0.7,0.7
2020-02-20,0,0.04,0.04,0.04
2020-02-21,0,0.01,0.01,0.01
2020-02-22,0,0.08,0.08,0.08
2020-02-23,0,0.08,0.08,0.08
2020-02-24,-0.064694217,0.08,0.08,0.08
2020-02-25,-0.032900499,-0.03,-0.03,-0.03
2020-02-26,-0.016935016,-0.08,-0.08,-0.08
2020-02-27,-0.036157556,-0.01,-0.01,-0.01
2020-02-28,0.011265626,0.1,0.1,0.1
2020-02-29,0.045229062,0,0,0
2020-03-01,-0.010819731,0.25,0.25,0.25
2020-03-02,-0.075374338,-0.05,-0.05,-0.05
2020-03-03,-0.040627459,-0.04,-0.04,-0.04
2020-03-04,-0.024428791,0.11,0.11,0.11
2020-03-05,-0.090460159,-0.05,-0.05,-0.05
2020-03-06,-0.093179581,0.02,0.02,0.02
2020-03-07,0.019351007,-0.02,-0.02,-0.02
2020-03-08,-0.033122397,-0.01,-0.01,-0.01
2020-03-09,-0.063248633,-0.06,-0.06,-0.06
2020-03-10,-0.060054582,-0.18,-0.18,-0.18
2020-03-11,-0.157923811,-0.21,-0.21,-0.21
2020-03-12,-0.068095878,-0.33,-0.33,-0.33
2020-03-13,-0.144819593,-0.37,-0.37,-0.37
2020-03-14,-0.26099209,-0.59,-0.59,-0.59
2020-03-15,-0.277057336,-0.67,-0.67,-0.67
2020-03-16,-0.25196553,-0.71,-0.71,-0.71
2020-03-17,-0.381539833,-1,-1,-1
2020-03-18,-0.43441021,-1,-1,-1
2020-03-19,-0.501264569,-1,-1,-1
2020-03-20,-0.614004877,-1,-1,-1
2020-03-21,-0.628143862,-1,-1,-1
2020-03-22,-0.608892549,-1,-1,-1
2020-03-23,-0.557642415,-1,-1,-1
2020-03-24,-0.575641083,-1,-1,-1
2020-03-25,-0.620698478,-1,-1,-1
2020-03-26,-0.590595668,-1,-1,-1
2020-03-27,-0.605112592,-1,-1,-1
2020-03-28,-0.674319815,-1,-1,-1
2020-03-29,-0.651448135,-1,-1,-1
2020-03-30,-0.481701666,-1,-1,-1
2020-03-31,-0.658368786,-1,-1,-1
2020-04-01,-0.630333408,-1,-1,-1
2020-04-02,-0.641817058,-1,-1,-1
2020-04-03,-0.630250329,-1,-1,-1
2020-04-04,-0.71407975,-1,-1,-1
2020-04-05,-0.703728777,-1,-1,-1
2020-04-06,-0.645789676,-1,-1,-1
2020-04-07,-0.646138495,-1,-1,-1
2020-04-08,-0.638995203,-1,-1,-1
2020-04-09,-0.668219849,-1,-1,-1
2020-04-10,-0.670895247,-1,-1,-1
2020-04-11,-0.662570617,-1,-1,-1
2020-04-12,-0.771304136,-1,-1,-1
2020-04-13,-0.653865741,-1,-1,-1
2020-04-14,-0.628184838,-1,-1,-1
2020-04-15,-0.624633245,-1,-1,-1
2020-04-16,-0.653624578,-1,-1,-1
2020-04-17,-0.662308713,-1,-1,-1
2020-04-18,-0.684495206,-1,-1,-1
2020-04-19,-0.679838728,-1,-1,-1
2020-04-20,-0.64976479,-1,-1,-1
2020-04-21,-0.639596519,-1,-1,-1
2020-04-22,-0.668634335,-1,-1,-1
2020-04-23,-0.63370274,-1,-1,-1
2020-04-24,-0.642719021,-1,-1,-1
2020-04-25,-0.624363934,-1,-1,-1
2020-04-26,-0.675684196,-1,-1,-1
2020-04-27,-0.599144147,-1,-1,-1
2020-04-28,-0.572818097,-1,-1,-1
2020-04-29,-0.561529647,-1,-1,-1
2020-04-30,-0.467267293,-1,-1,-1
2020-05-01,-0.546566769,-1,-1,-1
2020-05-02,-0.606957301,-1,-1,-1
2020-05-03,-0.69179744,-1,-1,-1
2020-05-04,-0.566160918,-1,-1,-1
2020-05-05,-0.50346565,-1,-1,-1
2020-05-06,-0.544963189,-1,-1,-1
2020-05-07,-0.530126691,-1,-1,-1
2020-05-08,-0.585191786,-1,-1,-1
2020-05-09,-0.555701103,-1,-1,-1
2020-05-10,-0.49533095,-1,-1,-1
