Date,VisitEnc
8/26/2020,-0.201151523
8/27/2020,-0.229790556
8/28/2020,-0.345573427
8/29/2020,-0.256418447
8/30/2020,-0.226552823
8/31/2020,-0.30098643
9/1/2020,-0.226810235
9/2/2020,-0.209381658
9/3/2020,-0.280513681
9/4/2020,-0.283282372
9/5/2020,-0.230253197
9/6/2020,-0.163505671
9/7/2020,-0.156294426
9/8/2020,-0.283675006
9/9/2020,-0.296255288
9/10/2020,-0.383794677
9/11/2020,-0.281242903
9/12/2020,-0.246013703
9/13/2020,-0.208466837
9/14/2020,-0.298400837
9/15/2020,-0.249560778
9/16/2020,-0.24646767
9/17/2020,-0.33261285
9/18/2020,-0.294651979
9/19/2020,-0.24106063
9/20/2020,-0.287690208
9/21/2020,-0.319410175
9/22/2020,-0.331687911
9/23/2020,-0.276143558
9/24/2020,-0.333276118
9/25/2020,-0.279635443
9/26/2020,-0.234041735
9/27/2020,-0.249787815
9/28/2020,-0.288250122
9/29/2020,-0.323613593
9/30/2020,-0.264907021
10/1/2020,-0.321491409
10/2/2020,-0.325406429
10/3/2020,-0.253256465
10/4/2020,-0.265858357
10/5/2020,-0.373281921
10/6/2020,-0.268805489
10/7/2020,-0.290261951
10/8/2020,-0.346280398
10/9/2020,-0.355208849
10/10/2020,-0.313633996
10/11/2020,-0.379494473
10/12/2020,-0.351814233
10/13/2020,-0.28312824
10/14/2020,-0.254801126
10/15/2020,-0.309429941
10/16/2020,-0.31664466
10/17/2020,-0.23400698
10/18/2020,-0.266897401
10/19/2020,-0.330225177
10/20/2020,-0.295473696
10/21/2020,-0.304944246
10/22/2020,-0.363735698
10/23/2020,-0.330912365
10/24/2020,-0.280572385
10/25/2020,-0.346368848
10/26/2020,-0.391781929
10/27/2020,-0.31682218
10/28/2020,-0.293074011
10/29/2020,-0.402345792
10/30/2020,-0.29849868
10/31/2020,-0.290261951
11/1/2020,-0.346280398
11/2/2020,-0.355208849
11/3/2020,-0.313633996
11/4/2020,-0.379494473
11/5/2020,-0.351814233
11/6/2020,-0.28312824
11/7/2020,-0.254801126
11/8/2020,-0.309429941
11/9/2020,-0.31664466
11/10/2020,-0.23400698
11/11/2020,-0.266897401
11/12/2020,-0.330225177
11/13/2020,-0.295473696
11/14/2020,-0.304944246
11/15/2020,-0.363735698
11/16/2020,-0.330912365
11/17/2020,-0.280572385
11/18/2020,-0.346368848
11/19/2020,-0.391781929
11/20/2020,-0.31682218
11/21/2020,-0.293074011
11/22/2020,-0.402345792
11/23/2020,-0.29849868
11/24/2020,-0.290261951
11/25/2020,-0.346280398
11/26/2020,-0.355208849
11/27/2020,-0.313633996
11/28/2020,-0.379494473
11/29/2020,-0.351814233
11/30/2020,-0.28312824
12/1/2020,-0.254801126
12/2/2020,-0.309429941
12/3/2020,-0.31664466
12/4/2020,-0.23400698
12/5/2020,-0.266897401
12/6/2020,-0.330225177
12/7/2020,-0.295473696
12/8/2020,-0.304944246
12/9/2020,-0.363735698
12/10/2020,-0.330912365
12/11/2020,-0.280572385
12/12/2020,-0.346368848
12/13/2020,-0.391781929
12/14/2020,-0.31682218
12/15/2020,-0.293074011
12/16/2020,-0.402345792
12/17/2020,-0.29849868
12/18/2020,-0.290261951
12/19/2020,-0.346280398
12/20/2020,-0.355208849
12/21/2020,-0.313633996
12/22/2020,-0.379494473
12/23/2020,-0.351814233
12/24/2020,-0.28312824
12/25/2020,-0.254801126
12/26/2020,-0.309429941
12/27/2020,-0.31664466
12/28/2020,-0.23400698
12/29/2020,-0.266897401
12/30/2020,-0.330225177
12/31/2020,-0.295473696
1/1/2021,-0.304944246
1/2/2021,-0.363735698
1/3/2021,-0.330912365
1/4/2021,-0.280572385
1/5/2021,-0.346368848
1/6/2021,-0.391781929
1/7/2021,-0.31682218
1/8/2021,-0.293074011
1/9/2021,-0.402345792
1/10/2021,-0.29849868
1/11/2021,-0.290261951
1/12/2021,-0.346280398
1/13/2021,-0.355208849
1/14/2021,-0.313633996
1/15/2021,-0.379494473
1/16/2021,-0.351814233
1/17/2021,-0.28312824
1/18/2021,-0.254801126
1/19/2021,-0.309429941
1/20/2021,-0.31664466
1/21/2021,-0.23400698
1/22/2021,-0.266897401
1/23/2021,-0.330225177
1/24/2021,-0.295473696
1/25/2021,-0.304944246
1/26/2021,-0.363735698
1/27/2021,-0.330912365
1/28/2021,-0.280572385
1/29/2021,-0.346368848
1/30/2021,-0.391781929
1/31/2021,-0.31682218
2/1/2021,-0.293074011
2/2/2021,-0.402345792
2/3/2021,-0.29849868
2/4/2021,-0.290261951
2/5/2021,-0.346280398
2/6/2021,-0.355208849
2/7/2021,-0.313633996
2/8/2021,-0.379494473
2/9/2021,-0.351814233
2/10/2021,-0.28312824
2/11/2021,-0.254801126
2/12/2021,-0.309429941
2/13/2021,-0.31664466
2/14/2021,-0.23400698
2/15/2021,-0.266897401
2/16/2021,-0.330225177
2/17/2021,-0.295473696
2/18/2021,-0.304944246
2/19/2021,-0.363735698
2/20/2021,-0.330912365
2/21/2021,-0.280572385
2/22/2021,-0.346368848
2/23/2021,-0.391781929
2/24/2021,-0.31682218
2/25/2021,-0.293074011
2/26/2021,-0.402345792
2/27/2021,-0.29849868
2/28/2021,-0.290261951
3/1/2021,-0.346280398
3/2/2021,-0.355208849
3/3/2021,-0.313633996
3/4/2021,-0.379494473
3/5/2021,-0.351814233
3/6/2021,-0.28312824
3/7/2021,-0.254801126
3/8/2021,-0.309429941
3/9/2021,-0.31664466
3/10/2021,-0.23400698
3/11/2021,-0.266897401
3/12/2021,-0.330225177
3/13/2021,-0.295473696
3/14/2021,-0.304944246
3/15/2021,-0.363735698
3/16/2021,-0.330912365
3/17/2021,-0.280572385
3/18/2021,-0.346368848
3/19/2021,-0.391781929
3/20/2021,-0.31682218
3/21/2021,-0.293074011
3/22/2021,-0.402345792
3/23/2021,-0.29849868
3/24/2021,-0.290261951
3/25/2021,-0.346280398
3/26/2021,-0.355208849
3/27/2021,-0.313633996
3/28/2021,-0.379494473
3/29/2021,-0.351814233
3/30/2021,-0.28312824
3/31/2021,-0.254801126
4/1/2021,-0.309429941
4/2/2021,-0.31664466
4/3/2021,-0.23400698
4/4/2021,-0.266897401
4/5/2021,-0.330225177
4/6/2021,-0.295473696
4/7/2021,-0.304944246
4/8/2021,-0.363735698
4/9/2021,-0.330912365
4/10/2021,-0.280572385
4/11/2021,-0.346368848
4/12/2021,-0.391781929
4/13/2021,-0.31682218
4/14/2021,-0.293074011
4/15/2021,-0.402345792
4/16/2021,-0.29849868
4/17/2021,-0.290261951
4/18/2021,-0.346280398
4/19/2021,-0.355208849
4/20/2021,-0.313633996
4/21/2021,-0.379494473
4/22/2021,-0.351814233
4/23/2021,-0.28312824
4/24/2021,-0.254801126
4/25/2021,-0.309429941
4/26/2021,-0.31664466
4/27/2021,-0.23400698
4/28/2021,-0.266897401
4/29/2021,-0.330225177
4/30/2021,-0.295473696
5/1/2021,-0.304944246
5/2/2021,-0.363735698
5/3/2021,-0.330912365
5/4/2021,-0.280572385
5/5/2021,-0.346368848
5/6/2021,-0.391781929
5/7/2021,-0.31682218
5/8/2021,-0.293074011
5/9/2021,-0.402345792
5/10/2021,-0.29849868
5/11/2021,-0.290261951
5/12/2021,-0.346280398
5/13/2021,-0.355208849
5/14/2021,-0.313633996
5/15/2021,-0.379494473
5/16/2021,-0.351814233
5/17/2021,-0.28312824
5/18/2021,-0.254801126
5/19/2021,-0.309429941
5/20/2021,-0.31664466
5/21/2021,-0.23400698
5/22/2021,-0.266897401
5/23/2021,-0.330225177
5/24/2021,-0.295473696
5/25/2021,-0.304944246
5/26/2021,-0.363735698
5/27/2021,-0.330912365
5/28/2021,-0.280572385
5/29/2021,-0.346368848
5/30/2021,-0.391781929
5/31/2021,-0.31682218
6/1/2021,-0.293074011
6/2/2021,-0.402345792
6/3/2021,-0.29849868
6/4/2021,-0.290261951
6/5/2021,-0.346280398
6/6/2021,-0.355208849
6/7/2021,-0.313633996
6/8/2021,-0.379494473
6/9/2021,-0.351814233
6/10/2021,-0.28312824
6/11/2021,-0.254801126
6/12/2021,-0.309429941
6/13/2021,-0.31664466
6/14/2021,-0.23400698
6/15/2021,-0.266897401
6/16/2021,-0.330225177
6/17/2021,-0.295473696
6/18/2021,-0.304944246
6/19/2021,-0.363735698
6/20/2021,-0.330912365
6/21/2021,-0.280572385
6/22/2021,-0.346368848
6/23/2021,-0.391781929
6/24/2021,-0.31682218
6/25/2021,-0.293074011
6/26/2021,-0.402345792
6/27/2021,-0.29849868
6/28/2021,-0.290261951
6/29/2021,-0.346280398
6/30/2021,-0.355208849
