Num,startDate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans,InterventionPerIncrease,locked,InterventionEndPerIncrease
77,2020-02-12,0.99,0.01,0.0002,0.99,0.01,0.0002,0.891248027,0.04229586,0.0272716,0.763637509,0.257166561,0.112490127,0.853172004,0.23585694,0.353105926,2.269663393,5.757697251,9.688065623,6.23986094,0.238509206,16.49373314,4.810388926,6.335704441,0.314527235,1.567894026,1.902577156,38,36,0.040702072,0.862877956,0.733952167,9,0.37,0.5,0.88,0.688199139,0.14,0,0.660875671
78,2020-02-10,0.99,0.01,0.0002,0.99,0.01,0.0002,0.851915996,0.032526096,0.039920685,0.798088062,0.269199294,0.112829234,0.736102827,0.241962957,0.330864867,2.593520963,5.209048074,8.349891801,5.703757111,0.245947317,15.92676824,3.078951733,7.434959359,0.358979543,2.148462881,1.061110098,98,36,0.041031971,0.857158805,0.796821188,10,0.24,0.61,0.79,0.654047854,0.37,0,0.954587714
79,2020-02-11,0.99,0.01,0.0002,0.99,0.01,0.0002,0.906766427,0.041394545,0.032548922,0.783210499,0.244839477,0.108673553,0.887938885,0.267429425,0.345381556,2.645822573,5.717518155,9.501096616,6.103356493,0.157585055,16.62187768,3.047515676,7.149052695,0.362441084,1.352910156,1.820288981,56,36,0.041361468,0.838876468,0.688960365,7,0.17,0.41,0.79,0.710260592,0.17,0,0.79157752
80,2020-02-11,0.99,0.01,0.0002,0.99,0.01,0.0002,0.925657052,0.032211769,0.020436369,0.847802398,0.24129126,0.114193039,0.823854257,0.252400146,0.313856832,2.224268158,5.806063804,9.288191054,5.066365784,0.229695524,15.18326639,4.467311864,5.950092263,0.205986115,1.808395935,1.182922355,98,36,0.041353149,0.816814967,0.580678431,9,0.23,0.45,0.89,0.658567244,0.31,0,0.816752368
81,2020-02-11,0.99,0.01,0.0002,0.99,0.01,0.0002,0.916012925,0.041544507,0.037754578,0.740755842,0.266508144,0.102260714,0.854673807,0.253733589,0.344976577,2.135560025,5.816647735,8.18832102,6.214255628,0.189275781,16.31892169,4.882791199,6.911193347,0.295022499,2.839577066,1.638309335,80,36,0.040270424,0.709734896,0.710606495,8,0.27,0.42,0.71,0.617151939,0.29,0,0.756095069
82,2020-02-07,0.99,0.01,0.0002,0.99,0.01,0.0002,0.934483298,0.048136318,0.02508966,0.727243945,0.253901499,0.130743836,0.70847411,0.244632529,0.303337299,2.241296592,4.405481823,9.287521036,6.471704543,0.183923194,17.1238708,4.759500717,6.933574172,0.365583819,2.31822717,1.167447997,90,36,0.039401677,0.863847972,0.737839988,3,0.25,0.6,0.72,0.697676074,0.14,0,0.175783364
83,2020-02-12,0.99,0.01,0.0002,0.99,0.01,0.0002,0.851286911,0.049534068,0.032043436,0.708801256,0.25502101,0.111761565,0.889242375,0.264840045,0.365801368,2.544824432,4.84472559,8.169299678,6.695704171,0.156474349,16.24613916,4.70781741,5.539419812,0.324760712,2.780117074,1.252651424,22,36,0.040663906,0.674062813,0.694997432,5,0.25,0.59,0.88,0.835077628,0.12,0,0.816980169
84,2020-02-07,0.99,0.01,0.0002,0.99,0.01,0.0002,0.917649936,0.04689607,0.030822334,0.766038616,0.248004752,0.103407888,0.726829737,0.237662186,0.354668111,3.623811012,5.780133798,8.955934191,5.791580296,0.237613088,15.62514495,4.41182649,6.474160314,0.333099224,1.583310954,1.754953616,43,36,0.03882801,0.642999533,0.725482772,6,0.19,0.55,0.77,0.685169895,0.16,0,0.312649827
85,2020-02-12,0.99,0.01,0.0002,0.99,0.01,0.0002,0.882009849,0.034636327,0.02233733,0.811116,0.258435746,0.139708703,0.842781425,0.268089185,0.305618846,2.704448843,5.781845131,9.524424517,6.183094257,0.154792606,15.20126012,4.152599346,5.97331331,0.280674793,2.458563033,1.562747435,90,36,0.040859031,0.617657919,0.863474089,8,0.17,0.41,0.77,0.785149205,0.15,0,0.378395004
86,2020-02-12,0.99,0.01,0.0002,0.99,0.01,0.0002,0.850225585,0.030943686,0.03831451,0.78886251,0.26345357,0.127043188,0.739711501,0.241742283,0.304075709,2.448442381,4.340607062,9.782174395,5.24068549,0.236641472,15.15917636,4.985631889,5.418664156,0.215497122,2.6715937,1.282924988,55,36,0.039080095,0.771737036,0.662496123,10,0.33,0.42,0.89,0.836480987,0.44,0,0.264831666
