Zip,CurrentCases,PriorCases,NewCases,FoundInFile,State
21153,2,2,0,1,MD
21152,20,17,3,1,MD
21146,111,97,14,1,MD
21144,249,228,21,1,MD
21140,4,4,0,1,MD
21136,316,286,30,1,MD
21133,487,472,15,1,MD
21132,11,10,1,1,MD
21131,19,16,3,1,MD
21128,57,46,11,1,MD
21122,318,291,27,1,MD
21120,10,5,5,1,MD
21117,543,484,59,1,MD
21114,143,122,21,1,MD
21113,174,164,10,1,MD
21111,11,9,2,1,MD
21108,85,80,5,1,MD
21104,15,15,0,1,MD
21102,86,76,10,1,MD
21094,1,1,0,1,MD
21093,197,174,23,1,MD
21090,78,72,6,1,MD
21087,19,15,4,1,MD
21085,91,80,11,1,MD
21084,20,19,1,1,MD
21082,6,4,2,1,MD
21080,1,1,0,1,MD
21078,49,38,11,1,MD
21077,2,2,0,1,MD
21076,171,150,21,1,MD
21075,316,292,24,1,MD
21074,44,42,2,1,MD
21065,1,1,0,1,MD
21061,567,526,41,1,MD
21060,381,352,29,1,MD
21057,25,23,2,1,MD
21054,117,112,5,1,MD
21053,11,10,1,1,MD
21052,4,4,0,1,MD
21050,168,166,2,1,MD
21048,35,33,2,1,MD
21047,30,29,1,1,MD
21046,100,87,13,1,MD
21045,452,414,38,1,MD
21044,326,290,36,1,MD
21043,362,324,38,1,MD
21042,151,138,13,1,MD
21041,1,1,0,1,MD
21040,176,151,25,1,MD
21037,203,184,19,1,MD
21036,14,13,1,1,MD
21035,21,19,2,1,MD
21034,12,12,0,1,MD
21032,79,74,5,1,MD
21030,286,250,36,1,MD
21029,53,49,4,1,MD
21028,4,3,1,1,MD
21027,1,1,0,1,MD
21017,25,22,3,1,MD
21015,70,67,3,1,MD
21014,184,171,13,1,MD
21013,8,6,2,1,MD
21012,151,139,12,1,MD
21009,117,108,9,1,MD
21007,1,1,0,1,MD
21005,4,2,2,1,MD
21001,109,99,10,1,MD
20918,1,1,0,1,MD
20912,484,459,25,1,MD
20910,504,486,18,1,MD
20907,3,3,0,1,MD
20906,1663,1553,110,1,MD
20905,197,182,15,1,MD
20904,1083,1012,71,1,MD
20903,987,927,60,1,MD
20902,1353,1262,91,1,MD
20901,655,605,50,1,MD
20898,2,2,0,1,MD
20896,7,6,1,1,MD
20895,184,175,9,1,MD
20889,7,6,1,1,MD
20886,675,621,54,1,MD
20885,1,1,0,1,MD
20882,95,84,11,1,MD
20880,2,2,0,1,MD
20879,441,402,39,1,MD
