InterventionName,type,SchoolCloseDate,SchoolCloseReductionPer,SchoolOpenDate,SchoolOpenReductionAmt,InterventionStartReductionDate,InterventionReductionPerMin,InterventionReductionPerMax,InterventionReductionPerLowMin,InterventionReductionPerLowMax,InterventionStartReductionDateCalcDays,InterventionStartEndLift,InterventionStartEndLiftCalcDays,InterventionEndPerIncrease,InterventionMobilityEffect,QuarantineType,PerFollowQuarantine,QuarantineStartDate,TestingAvailabilityDateHosp,TestingAvailabilityDateComm,finaldate,ContactTracing,testExtra,TimeToFindContactsLow,TimeToFindContactsHigh,UseCountyLevel,CountyEncountersFile,AdjustPopDensity,TestIncreaseLow,TestIncreaseHigh,Seasonality,OldAgeRestriction,OldAgeReduction,GatheringRestriction,GatheringMax,UpdateTransProb,GatheringPer
distance.baselineX50,distance,3/13/2020,0.25,4/1/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,8/1/2020,11/1/2020,0.5,0.75,,0.9,,3/6/2020,4/1/2020,6/30/2021,0,0,,,0,,1,0.1,0.8,0,0,,0,,1,
distance.baselineX75,distance,3/13/2020,0.25,4/1/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,8/1/2020,11/1/2020,0.75,0.75,,0.9,,3/6/2020,4/1/2020,6/30/2021,0,0,,,0,,1,0.1,0.8,0,0,,0,,1,
distance.baselineX100,distance,3/13/2020,0.25,4/1/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,8/1/2020,11/1/2020,1,0.75,,0.9,,3/6/2020,4/1/2020,6/30/2021,0,0,,,0,,1,0.1,0.8,0,0,,0,,1,
distance.baselineX125,distance,3/13/2020,0.25,4/1/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,8/1/2020,11/1/2020,1.25,0.75,,0.9,,3/6/2020,4/1/2020,6/30/2021,0,0,,,0,,1,0.1,0.8,0,0,,0,,1,
distance.baselineX150,distance,3/13/2020,0.25,4/1/2021,0.5,3/11/2020,0.1,0.25,0.45,0.58,3/29/2020,8/1/2020,11/1/2020,1.5,0.75,,0.9,,3/6/2020,4/1/2020,6/30/2021,0,0,,,0,,1,0.1,0.8,0,0,,0,,1,
