key,startDate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans
122,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.099519138,0.084291662,0.836057294,0.269421965,0.240010586,0.862782697,0.573507285,0.427361962,2.213200666,4.910075395,8.522890038,5.560530336,0.412479918,10.73088593,4.599156369,5.750474802,0.20879228,1.942010244,1.778918172,56,36,0.039687939,0.702809716,0.605870814,7,0.28,0.52,0.83,0.601538558
159,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.117006433,0.094059252,0.851357529,0.260004699,0.210247251,0.850615089,0.562956873,0.472788397,3.482052183,4.935249016,8.733295585,5.497958601,0.413833515,9.528832374,3.519622042,5.202030193,0.305743978,2.84844894,1.778918172,57,36,0.037626373,0.658402873,0.70186657,3,0.31,0.47,0.9,0.878892839
416,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.925059768,0.115681259,0.08259324,0.737666026,0.256323907,0.154593311,0.70311865,0.562956873,0.422636938,3.482052183,4.662246907,8.522890038,5.991144692,0.442707062,9.528832374,3.757245241,5.373789185,0.242880268,1.870466907,1.460312432,78,36,0.038495936,0.632675899,0.525785321,7,0.28,0.61,0.83,0.620601658
223,2/1/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.866099225,0.109606319,0.062774761,0.704129031,0.250353185,0.196975327,0.874808853,0.552525581,0.465536582,2.570292759,5.120392268,8.035972706,5.746030243,0.442871798,9.528832374,4.599156369,7.841599905,0.326345379,1.795963144,1.778918172,78,36,0.037626373,0.875009419,0.863827587,7,0.31,0.41,0.73,0.601538558
222,2/22/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.866099225,0.109606319,0.062774761,0.704129031,0.250353185,0.208958183,0.874808853,0.552525581,0.465536582,2.570292759,5.120392268,8.95922422,5.746030243,0.442707062,10.48819769,4.657928891,5.373789185,0.326345379,1.795963144,1.778918172,78,36,0.038495936,0.673353596,0.635423906,7,0.31,0.41,0.86,0.601538558
7,2/5/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.866702712,0.089692909,0.05761994,0.702337465,0.263312627,0.180630891,0.719273784,0.515869283,0.465536582,3.928295993,5.120392268,9.274622197,5.308741039,0.435920294,16.54607567,3.669863288,7.69312154,0.294624133,1.730039634,1.460312432,76,36,0.039001341,0.658402873,0.80430164,3,0.31,0.41,0.77,0.762710737
282,2/16/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.911662031,0.090977819,0.05761994,0.777153395,0.263312627,0.17886182,0.719273784,0.563743496,0.465536582,3.928295993,4.662246907,8.104289863,5.308741039,0.42144096,16.54607567,3.669863288,7.787964028,0.270057075,1.795963144,1.460312432,76,36,0.039206936,0.658402873,0.525785321,4,0.38,0.48,0.74,0.762710737
436,2/28/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.8861598,0.101297552,0.092387787,0.836057294,0.239180905,0.160520598,0.719273784,0.599531386,0.459872384,3.771300537,4.581718671,8.522890038,5.308741039,0.443405985,9.307157885,4.356411985,5.750474802,0.242880268,1.942010244,1.778918172,78,36,0.039687939,0.737281041,0.793295831,9,0.18,0.64,0.83,0.620601658
412,2/14/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.115681259,0.08259324,0.779240962,0.233260781,0.154593311,0.795469704,0.504104218,0.426291963,3.181667089,5.120392268,8.456195743,6.053131157,0.442707062,10.63278555,4.599156369,5.635357314,0.270057075,2.84844894,1.460312432,2,36,0.03734065,0.663083225,0.799465392,9,0.37,0.41,0.83,0.620601658
94,2/13/2020,0.99,0.01,0.0002,0.99,0.01,0.0002,0.896557661,0.105194071,0.08259324,0.764752538,0.263377121,0.249588157,0.877450107,0.552525581,0.44915925,3.243899297,4.581718671,8.522890038,5.497958601,0.405166711,9.556515366,4.599156369,6.211209826,0.326345379,1.870466907,1.435693554,76,36,0.039066893,0.677124806,0.5666476,9,0.16,0.41,0.83,0.808296726
