state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-05,5,PRE,F,1,0.03584924,F,1,-0.040885302,F,1,246.7500603,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-06,6,PRE,F,1,0.024056737,F,1,-0.006954409,F,1,225.6366505,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-07,7,PRE,F,1,0.020026639,F,1,0.100057583,F,1,155.1025621,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-08,1,PRE,F,1,0.008287711,F,1,0.085867421,F,1,139.5778645,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-09,2,POST,F,1,-0.09257753,F,1,0.045870431,F,1,229.3207046,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-10,3,POST,F,1,0.038840803,F,1,-0.036133091,F,1,253.369055,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-11,4,POST,F,1,0.227810374,F,1,-0.136412708,F,1,250.0715247,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-12,5,POST,F,1,0.022506208,F,1,-0.156498026,F,1,144.1324916,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-13,6,POST,F,1,-0.116732157,F,1,-0.243523903,F,1,92.74004986,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-14,7,POST,F,1,-0.13395598,F,1,-0.409883996,F,1,35.15249219,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-15,1,POST,F,1.3,-0.332007035,D,2,-0.484671406,F,1,23.48028171,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-16,2,POST,F,1.3,-0.292521693,D,2,-0.468145961,F,1,47.40404087,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-17,3,POST,D-,1.7,-0.349245286,D,2,-0.558533396,D,2,45.18376642,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-18,4,POST,D+,2.3,-0.414439275,C,3,-0.644269859,C,3,35.73317248,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-19,5,POST,C-,2.7,-0.510010323,C,3,-0.659360457,B,4,34.31591891,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-20,6,POST,C,3,-0.543382798,C,3,-0.703056164,A,5,26.39307779,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-21,7,POST,C+,3.3,-0.577157603,B,4,-0.710921385,A,5,14.88930037,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-22,1,POST,C+,3.3,-0.633992878,B,4,-0.750979103,A,5,13.21794326,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-23,2,POST,C+,3.3,-0.573125188,B,4,-0.702126678,A,5,21.89705558,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-24,3,POST,C+,3.3,-0.584400135,B,4,-0.708240708,A,5,23.92496291,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-25,4,POST,C+,3.3,-0.600093049,B,4,-0.750217818,A,5,19.70787303,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-26,5,POST,C+,3.3,-0.615275423,B,4,-0.741210286,A,5,22.48668317,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-27,6,POST,C+,3.3,-0.635815471,B,4,-0.719482416,A,5,23.40333486,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-28,7,POST,C+,3.3,-0.675887793,B,4,-0.779878665,A,5,11.84609728,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-29,1,POST,C+,3.3,-0.699518977,B,4,-0.785809109,A,5,10.73685479,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-30,2,POST,C+,3.3,-0.606420624,B,4,-0.712152666,A,5,8.035424674,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-03-31,3,POST,C+,3.3,-0.626514503,B,4,-0.770326267,A,5,6.453424242,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-04-01,4,POST,C+,3.3,-0.634463126,B,4,-0.762028757,A,5,6.524785848,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-04-02,5,POST,C+,3.3,-0.630879307,B,4,-0.776551361,A,5,6.833186162,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-04-03,6,POST,C+,3.3,-0.65158642,B,4,-0.765513682,A,5,7.562710854,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-04-04,7,POST,C+,3.3,-0.665698383,B,4,-0.827186069,A,5,3.920087249,F,1
DC,11,District of Columbia,11001,District of Columbia,702455,2020-12-30 14:13:35.13358 UTC,2020-04-05,1,POST,B-,3.7,-0.751972195,A,5,-0.852673457,A,5,4.036220308,F,1
