,George Washington University Hospital,Hadley Memorial Hospital,Howard University Hospital,MedStar Georgetown University ,Sibley Memorial Hospital,Providence Hospital,United Medical Center,MedStar Washington Hospital Center,Other D.C. Hospitals,Virginia,Meritus Medical Center,University of Maryland Medical Center,Prince George's Hospital Center,Holy Cross Hospital,Frederick Memorial Hospital,Mercy Medical Center,Johns Hopkins Hospital,Dorchester (UMSRH),St. Agnes Hospital,Sinai Hospital of Baltimore,White Oak Medical Center,Garrett Memorial Hospital (WVU),Montgomery Medical Center (MedStar),Peninsula Regional Medical Center,Suburban Hospital,Anne Arundel Medical Center,Union Memorial Hospital (MedStar),Western Maryland Medical Center (UPMC),St. Mary's Hospital,Johns Hopkins Bayview Medical Center,Chestertown (UMSRH),Carroll Hospital Center,Harbor Hospital (MedStar),Charles Regional (UM),Easton (UMSRH),UMM Center Midtown Campus (acute) (Formerly Maryland General),Calvert Memorial Hospital,Northwest Hospital,Baltimore Washington Medical Center,Greater Baltimore Medical Center,Howard County General Hospital (JHM),Doctors Community Hospital,Greater Laurel,Good Samaritan Hospital (MedStar),Shady Grove Adventist Hospital,Fort Washington Hospital,Atlantic General Hospital,Southern Maryland Hospital (MedStar),St. Joseph's (UM),Holy Cross Germantown,Queenstown Emergency Center,Franklin Square (MedStar),Grace Medical Center,Union Hospital of Cecil County,Upper Chesapeake Medical Center (UMUCH),Edward McCready Memorial Hospital,Harford Memorial Hospital (UMUCH)
21122,0,0,0,0,0,0,0,0,0,0,0,0.012875536,0,0,0,0.005722461,0.011444921,0,0.027181688,0,0,0,0,0,0,0.111587983,0.001430615,0,0,0.00286123,0,0,0.054363376,0,0,0.001430615,0,0,0.743919886,0.001430615,0.008583691,0,0.001430615,0.001430615,0,0,0.001430615,0,0.001430615,0.004291845,0.001430615,0.00286123,0.00286123,0,0,0,0
21128,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.09,0,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0.14,0,0,0,0.02,0,0,0,0,0.15,0,0,0.48,0,0,0.03,0,0
21130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.75
21131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.375,0,0,0.03125,0,0.03125,0,0,0.03125
21132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0.882352941,0,0
21133,0,0,0,0,0,0,0,0,0,0,0,0.022641509,0,0,0,0.022641509,0.032075472,0,0.062264151,0.116981132,0.001886792,0.001886792,0,0.001886792,0,0,0.009433962,0,0,0.00754717,0,0.003773585,0.001886792,0.001886792,0,0.003773585,0,0.575471698,0.003773585,0.064150943,0.011320755,0,0.001886792,0.009433962,0,0,0.001886792,0.001886792,0.024528302,0,0.001886792,0.005660377,0.005660377,0,0.001886792,0,0
21136,0,0,0,0,0,0,0,0,0,0,0,0.039634146,0.00304878,0,0,0.024390244,0.039634146,0,0.054878049,0.131097561,0,0,0,0,0,0,0.015243902,0,0,0.006097561,0,0.161585366,0.012195122,0,0,0.00304878,0,0.24695122,0.00304878,0.140243902,0.009146341,0,0,0.006097561,0,0,0.00304878,0,0.088414634,0.006097561,0,0.006097561,0,0,0,0,0
21140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21144,0,0,0,0,0,0,0,0,0,0,0,0.014141414,0.004040404,0,0,0,0.018181818,0,0.016161616,0,0,0,0,0,0,0.086868687,0.002020202,0,0,0,0.002020202,0,0.028282828,0.002020202,0,0.004040404,0,0,0.737373737,0,0.062626263,0.002020202,0.014141414,0.002020202,0,0,0,0,0.004040404,0,0,0,0,0,0,0,0
21146,0,0,0,0,0,0,0,0,0,0,0,0.00591716,0,0,0,0,0.00591716,0,0.00591716,0,0,0,0,0,0,0.550295858,0,0,0,0,0,0,0.00591716,0,0,0,0,0,0.420118343,0,0.00591716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615384615,0,0,0,0,0,0,0,0,0.384615385,0,0,0,0,0,0,0,0
21153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
21154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020408163,0,0,0,0.020408163,0,0,0,0,0.040816327,0,0,0,0,0,0.816326531,0,0.102040816
21155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538461538,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0.076923077,0,0.153846154,0,0,0,0,0,0,0,0
21156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002232143,0,0.013392857,0,0.002232143,0.004464286,0,0,0,0,0,0,0,0,0,0,0,0.948660714,0,0,0,0,0,0.004464286,0,0.011160714,0.006696429,0.002232143,0,0,0,0,0.002232143,0,0.002232143,0,0,0,0,0,0,0,0
21158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005714286,0.005714286,0,0.005714286,0,0.005714286,0.005714286,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0.022857143,0.011428571,0,0,0,0,0,0.005714286,0,0,0,0,0,0,0.005714286,0,0,0.005714286
21160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0.111111111
21161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0.272727273,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0.318181818,0,0
21162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0.046511628,0,0,0,0,0,0,0,0,0,0.023255814,0.023255814,0,0,0,0,0,0,0.023255814,0.069767442,0,0,0.744186047,0,0,0.023255814,0,0
21163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0.03030303,0.03030303,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0.212121212,0,0.03030303,0.636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21201,0,0,0,0,0,0,0,0,0,0,0,0.357624831,0,0,0,0.147098516,0.070175439,0,0.031039136,0.01754386,0,0,0,0,0,0,0.043184885,0.001349528,0,0.006747638,0,0,0.01754386,0,0,0.245614035,0,0.004048583,0.006747638,0.004048583,0.001349528,0,0.001349528,0.009446694,0,0,0,0,0.006747638,0,0,0.004048583,0.024291498,0,0,0,0
21202,0,0,0,0,0,0,0,0,0,0,0,0.129916567,0,0,0.001191895,0.288438617,0.274135876,0,0.015494636,0.015494636,0,0,0,0,0.001191895,0.001191895,0.085816448,0,0,0.030989273,0,0,0.013110846,0,0,0.065554231,0,0.001191895,0.001191895,0.005959476,0.001191895,0.001191895,0,0.019070322,0,0,0,0,0.009535161,0,0,0.007151371,0.029797378,0.001191895,0,0,0
21204,0,0,0,0,0,0,0,0,0,0,0,0.014492754,0,0,0.007246377,0.014492754,0.043478261,0,0.007246377,0.014492754,0,0,0,0,0,0,0.014492754,0,0,0.014492754,0,0,0,0,0,0,0,0,0,0.326086957,0,0,0.007246377,0.02173913,0,0,0.007246377,0,0.5,0,0,0.007246377,0,0,0,0,0
21205,0,0,0,0,0,0,0,0,0,0,0.00476758,0.050059595,0.001191895,0,0,0.115613826,0.523241955,0,0.011918951,0.00476758,0,0,0,0,0,0,0.047675805,0.001191895,0,0.121573302,0,0,0.010727056,0,0,0.013110846,0,0.001191895,0.001191895,0.00238379,0.001191895,0,0,0.028605483,0,0,0,0,0.005959476,0,0,0.045292014,0.008343266,0,0,0,0
21206,0,0,0,0,0,0,0,0,0,0,0,0.039388595,0,0,0,0.070546737,0.201058201,0.000587889,0.016460905,0.013521458,0,0,0,0,0,0.000587889,0.094650206,0.000587889,0,0.068195179,0,0,0.010582011,0,0,0.009406232,0,0.002939447,0.001763668,0.034685479,0.001763668,0,0,0.217519106,0,0,0,0,0.045855379,0,0,0.160493827,0.006466784,0,0.002939447,0,0
21207,0,0,0,0,0,0,0,0,0,0,0,0.065517241,0,0,0,0.045689655,0.048275862,0,0.260344828,0.21637931,0,0,0,0.000862069,0,0,0.021551724,0,0.000862069,0.004310345,0,0,0.012068966,0,0,0.013793103,0,0.189655172,0.009482759,0.036206897,0.014655172,0.000862069,0.001724138,0.015517241,0,0,0,0,0.018965517,0,0,0.003448276,0.018965517,0,0.000862069,0,0
21208,0,0,0,0,0,0,0,0,0,0,0.002890173,0.043352601,0,0,0,0.028901734,0.046242775,0,0.052023121,0.216763006,0,0,0,0,0,0.002890173,0.014450867,0,0,0.002890173,0,0,0.002890173,0,0,0.014450867,0,0.352601156,0.002890173,0.104046243,0.01734104,0,0,0.01734104,0,0,0,0,0.060693642,0,0.002890173,0.005780347,0.00867052,0,0,0,0
21209,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0.032258065,0.064516129,0,0.048387097,0.38172043,0,0,0,0,0,0,0.043010753,0,0,0.010752688,0,0,0,0,0,0.005376344,0,0.043010753,0,0.209677419,0,0,0,0.016129032,0,0,0.005376344,0,0.107526882,0,0,0.010752688,0.005376344,0,0,0,0
21210,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0,0,0,0.034482759,0.068965517,0,0.034482759,0.051724138,0.017241379,0,0,0.086206897,0.017241379,0,0.155172414,0,0,0.017241379,0.017241379,0,0,0,0,0,0,0,0,0.25862069,0.017241379,0,0,0.051724138,0,0,0,0,0.137931034,0,0,0,0,0.017241379,0,0,0
21211,0,0,0,0,0,0,0,0,0,0,0,0.041198502,0,0,0,0.029962547,0.074906367,0,0.007490637,0.074906367,0,0.003745318,0,0.003745318,0,0,0.479400749,0,0,0.014981273,0,0,0.007490637,0,0,0.063670412,0.003745318,0.003745318,0.003745318,0.06741573,0,0,0,0.029962547,0,0,0,0,0.074906367,0,0,0.003745318,0.007490637,0,0.003745318,0,0
21212,0,0,0,0,0,0,0,0,0,0,0,0.049655172,0,0,0,0.048275862,0.082758621,0,0.011034483,0.026206897,0,0,0,0,0,0,0.179310345,0,0.00137931,0.008275862,0,0,0.005517241,0,0,0.011034483,0,0.005517241,0,0.095172414,0.00137931,0,0.00137931,0.260689655,0,0,0,0,0.194482759,0,0,0.013793103,0.004137931,0,0,0,0
21213,0,0,0,0,0,0,0,0,0,0,0,0.059066745,0,0,0,0.126993503,0.395156527,0.000590667,0.015357354,0.010041347,0,0,0,0,0,0,0.167749557,0,0,0.040756054,0,0,0.009450679,0,0,0.020082693,0,0.001772002,0.00236267,0.010632014,0.001772002,0,0,0.086237448,0,0,0,0,0.013585351,0,0,0.023626698,0.012994684,0,0.001772002,0,0
21214,0,0,0,0,0,0,0,0,0,0,0,0.040772532,0,0,0,0.045064378,0.118025751,0,0.008583691,0.019313305,0,0,0.002145923,0,0,0,0.103004292,0,0,0.025751073,0,0,0.004291845,0.002145923,0,0.006437768,0.002145923,0.004291845,0,0.053648069,0,0,0,0.36695279,0,0,0,0,0.13304721,0,0,0.060085837,0.002145923,0,0.002145923,0,0
21215,0,0,0,0,0,0,0,0,0,0,0,0.092078189,0,0.000514403,0,0.061213992,0.064814815,0,0.062757202,0.443415638,0,0,0,0.000514403,0,0.000514403,0.050925926,0,0,0.009259259,0,0,0.012345679,0,0,0.044238683,0,0.04218107,0.00308642,0.031893004,0.00308642,0,0,0.021090535,0,0.000514403,0,0,0.020061728,0,0,0.006687243,0.028292181,0,0.000514403,0,0
21216,0,0,0,0,0,0,0,0,0,0,0,0.160703457,0,0,0.000606428,0.09460279,0.061249242,0,0.2801698,0.109157065,0,0,0,0,0,0,0.038811401,0.000606428,0,0.004244997,0,0,0.015160703,0,0,0.057610673,0,0.015160703,0.002425713,0.012128563,0.004851425,0,0,0.013341419,0,0,0,0,0.008489994,0,0,0.003032141,0.117647059,0,0,0,0
21217,0,0,0,0,0,0,0,0,0,0,0,0.251020408,0,0,0,0.135204082,0.091326531,0,0.064285714,0.045408163,0.000510204,0,0,0,0,0,0.056632653,0,0,0.007142857,0,0,0.015306122,0,0,0.188265306,0,0.005102041,0.00255102,0.007142857,0.002040816,0,0.000510204,0.010204082,0,0,0,0,0.009693878,0.000510204,0,0.004081633,0.103061224,0,0,0,0
21218,0,0,0,0,0,0,0,0,0,0,0,0.065425532,0,0,0,0.080319149,0.15,0,0.013297872,0.010106383,0,0.000531915,0,0,0,0.000531915,0.438829787,0,0,0.014361702,0,0,0.009042553,0,0,0.029787234,0,0.003191489,0.00212766,0.018617021,0.001595745,0,0,0.114893617,0,0,0,0,0.029255319,0,0,0.009042553,0.008510638,0,0.000531915,0,0
21219,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0,0,0,0.016393443,0.040983607,0,0.016393443,0,0,0.008196721,0,0,0,0,0.008196721,0,0,0.31147541,0,0,0.016393443,0,0.008196721,0,0,0,0.008196721,0.024590164,0,0,0,0,0,0,0,0,0.057377049,0,0,0.450819672,0.008196721,0,0.008196721,0,0
21220,0,0,0,0,0,0,0,0,0,0,0,0.009925558,0,0,0,0.014888337,0.038461538,0,0.008684864,0.001240695,0,0,0.00248139,0.001240695,0,0,0.017369727,0,0,0.055831266,0,0,0.008684864,0,0,0.00248139,0,0.001240695,0.003722084,0.035980149,0.001240695,0.001240695,0,0.014888337,0,0,0,0,0.044665012,0,0,0.727047146,0,0,0.007444169,0,0.001240695
21221,0,0,0,0,0,0,0,0,0,0,0,0.014537902,0,0,0,0.026998962,0.055036345,0,0.010384216,0.005192108,0,0,0,0,0.001038422,0,0.015576324,0,0,0.125649013,0,0,0.007268951,0,0,0.005192108,0,0.003115265,0.004153686,0.026998962,0.002076843,0,0,0.022845275,0,0,0.001038422,0,0.033229491,0,0,0.631360332,0.002076843,0,0.00623053,0,0
21222,0,0,0,0,0,0,0,0,0,0,0,0.020593081,0,0,0,0.020593081,0.051894563,0,0.011532125,0.004942339,0,0,0,0,0,0.000823723,0.008237232,0.001647446,0,0.471169687,0.000823723,0,0.015650741,0,0,0.004942339,0,0.000823723,0.007413509,0.018121911,0.001647446,0,0,0.012355848,0,0.000823723,0.000823723,0,0.022240527,0,0,0.31630972,0.001647446,0,0.004118616,0,0.000823723
21223,0,0,0,0,0,0,0,0,0,0,0,0.246621622,0,0,0.000482625,0.061776062,0.040540541,0,0.232142857,0.008204633,0,0,0.000482625,0,0,0.000482625,0.017374517,0,0,0.006274131,0.000482625,0,0.036196911,0.000482625,0,0.030888031,0,0.001930502,0.002895753,0.001930502,0.000965251,0,0,0.005791506,0,0,0,0,0.002895753,0,0,0.003378378,0.297297297,0,0.000482625,0,0
21224,0,0,0,0,0,0,0,0,0,0,0,0.025984912,0,0.000838223,0,0.052808047,0.239731769,0,0.009220453,0.005029338,0,0,0.000838223,0,0,0.000838223,0.023470243,0,0,0.481139983,0,0,0.012573345,0,0,0.010058676,0,0.000838223,0.002514669,0.010058676,0.000838223,0,0,0.009220453,0,0.000838223,0,0,0.013411567,0,0,0.092204526,0.004191115,0,0.001676446,0,0.001676446
21225,0,0,0,0,0,0,0,0,0,0,0,0.055684455,0,0,0,0.022041763,0.023781903,0,0.082946636,0.002900232,0,0,0,0,0,0.004640371,0.007540603,0,0,0.004640371,0,0,0.679234339,0,0,0.007540603,0,0.001160093,0.086426914,0.001740139,0.001740139,0.001160093,0,0.005220418,0,0,0,0,0.001740139,0,0,0.003480278,0.005800464,0.000580046,0,0,0
21226,0,0,0,0,0,0,0,0,0,0,0,0.037735849,0,0,0,0.023584906,0.014150943,0,0.061320755,0,0,0,0,0.004716981,0,0.028301887,0.004716981,0,0,0.004716981,0.004716981,0,0.566037736,0,0,0.009433962,0.004716981,0,0.221698113,0,0.004716981,0,0,0,0,0,0,0,0,0,0,0.004716981,0.004716981,0,0,0,0
21227,0,0,0,0,0,0,0,0,0,0,0,0.040339703,0,0,0,0.010615711,0.022292994,0,0.626326964,0.003184713,0,0,0,0,0,0.003184713,0.003184713,0,0,0.00955414,0,0,0.192144374,0,0,0.005307856,0,0.003184713,0.042462845,0.004246285,0.013800425,0,0,0.002123142,0,0,0,0,0.003184713,0,0.001061571,0.004246285,0.008492569,0.001061571,0,0,0
21228,0,0,0,0,0,0,0,0,0,0,0,0.050877193,0,0,0,0.015789474,0.036842105,0,0.649122807,0.01754386,0,0,0,0,0.001754386,0.001754386,0.010526316,0.001754386,0,0.003508772,0,0,0.026315789,0,0.001754386,0.005263158,0,0.047368421,0.010526316,0.014035088,0.068421053,0,0,0.007017544,0,0,0,0,0.010526316,0.001754386,0,0.007017544,0.010526316,0,0,0,0
21229,0,0,0,0,0,0,0,0,0,0,0,0.108857001,0,0,0,0.06086096,0.036615537,0,0.609599208,0.020286987,0,0,0,0,0,0,0.013854527,0,0,0.005937655,0,0,0.029193469,0,0.000494805,0.017812964,0,0.0108857,0.00544285,0.005937655,0.004948046,0,0,0.004948046,0,0,0,0,0.00544285,0,0,0.003463632,0.054428501,0,0.000494805,0.000494805,0
21230,0,0,0,0,0,0,0,0,0,0,0,0.192731278,0,0,0,0.060572687,0.038546256,0,0.307268722,0.004405286,0,0,0,0,0,0.001101322,0.012114537,0,0,0.009911894,0,0,0.276431718,0,0,0.019823789,0,0.002202643,0.018722467,0.007709251,0.004405286,0,0,0.00660793,0,0.001101322,0,0,0.005506608,0,0,0.003303965,0.02753304,0,0,0,0
21231,0,0,0,0,0,0,0,0,0,0,0,0.096153846,0,0,0,0.132478632,0.538461538,0,0.012820513,0.004273504,0,0,0,0,0.002136752,0,0.036324786,0,0,0.081196581,0,0,0.010683761,0,0,0.021367521,0,0,0,0.010683761,0.002136752,0,0,0.014957265,0,0,0,0,0.008547009,0,0,0.012820513,0.010683761,0,0.002136752,0,0.002136752
21234,0,0,0,0,0,0,0,0,0,0,0,0.02250225,0.00090009,0,0,0.02520252,0.04950495,0,0.0090009,0.01530153,0.00090009,0,0,0,0,0,0.03240324,0.00090009,0,0.01890189,0.00090009,0,0.00360036,0,0,0.00450045,0,0.00270027,0.00180018,0.157515752,0.00090009,0,0,0.217821782,0,0,0,0,0.261026103,0,0,0.167416742,0.00270027,0,0.00360036,0,0
21236,0,0,0,0,0,0,0,0,0,0,0,0.006772009,0,0,0,0.011286682,0.081264108,0,0.006772009,0.006772009,0,0,0.002257336,0,0,0,0.018058691,0,0,0.029345372,0,0,0.006772009,0,0,0.002257336,0,0.002257336,0,0.130925508,0.002257336,0,0,0.036117381,0.002257336,0,0.002257336,0,0.155756208,0,0,0.478555305,0.002257336,0,0.015801354,0,0
21237,0,0,0,0,0,0,0,0,0,0,0.001736111,0.015625,0,0,0,0.013888889,0.053819444,0,0.006944444,0.005208333,0.001736111,0,0,0.001736111,0,0,0.017361111,0,0,0.046875,0,0,0.006944444,0,0,0.005208333,0,0.001736111,0.001736111,0.041666667,0.001736111,0,0.001736111,0.034722222,0,0.001736111,0,0,0.050347222,0,0,0.678819444,0,0,0.005208333,0,0.003472222
21239,0,0,0,0,0,0,0,0,0,0,0,0.027722772,0,0,0.000990099,0.032673267,0.074257426,0,0.007920792,0.017821782,0,0,0,0,0,0,0.082178218,0,0,0.008910891,0.000990099,0,0.002970297,0,0,0.006930693,0,0.003960396,0.001980198,0.07029703,0.000990099,0.000990099,0,0.499009901,0,0,0,0,0.138613861,0,0,0.016831683,0.003960396,0,0,0,0
21244,0,0,0,0,0,0,0,0,0,0,0,0.04558011,0,0,0,0.03038674,0.038674033,0.001381215,0.201657459,0.125690608,0,0,0,0,0,0,0.01519337,0.001381215,0,0.004143646,0,0.001381215,0.006906077,0,0,0.011049724,0,0.389502762,0.006906077,0.046961326,0.03038674,0.001381215,0,0.009668508,0.001381215,0,0,0,0.020718232,0,0,0.006906077,0.002762431,0,0,0,0
21250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
21286,0,0,0,0,0,0,0,0,0,0,0,0.005319149,0,0,0,0.005319149,0.031914894,0,0.005319149,0.010638298,0.005319149,0,0,0,0,0,0.021276596,0,0,0.010638298,0,0,0,0,0,0,0,0,0,0.276595745,0,0,0,0.095744681,0,0,0,0,0.5,0,0,0.026595745,0,0,0,0,0.005319149
21401,0,0,0,0,0,0,0,0,0,0,0,0.00141844,0,0,0,0,0.00141844,0,0,0,0,0,0,0.00141844,0,0.941843972,0,0,0,0.00141844,0,0,0.00141844,0,0,0,0.00141844,0,0.036879433,0,0.002836879,0.002836879,0.00141844,0,0,0,0.00141844,0,0,0,0.002836879,0,0.00141844,0,0,0,0
21402,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001886792,0,0,0,0.001886792,0,0,0,0,0.969811321,0,0,0,0,0,0,0.001886792,0,0,0,0,0,0.020754717,0,0,0,0,0,0,0,0,0,0.001886792,0,0,0.001886792,0,0,0,0,0
21405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0.894409938,0,0,0,0,0,0,0.01242236,0,0,0,0,0,0.068322981,0,0,0,0,0.00621118,0,0,0,0,0,0,0.01242236,0,0,0,0,0,0
21502,0,0,0,0,0,0,0,0,0,0,0.001765225,0,0,0,0,0,0,0,0.000882613,0,0,0.001765225,0,0,0,0,0,0.995586937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896551724,0,0,0,0,0,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21521,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954545455,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0.918918919,0,0,0,0.027027027,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21532,0,0,0,0,0,0,0,0,0,0,0.004504505,0,0,0,0,0.009009009,0.004504505,0,0,0,0,0.013513514,0,0,0,0,0.004504505,0.954954955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004504505,0,0,0,0,0,0,0,0,0,0.004504505,0,0,0,0,0
21536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469387755,0,0,0,0,0,0.530612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0.976744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
