,George Washington University Hospital,Hadley Memorial Hospital,Howard University Hospital,MedStar Georgetown University ,Sibley Memorial Hospital,Providence Hospital,United Medical Center,MedStar Washington Hospital Center,Other D.C. Hospitals,Virginia,Meritus Medical Center,University of Maryland Medical Center,Prince George's Hospital Center,Holy Cross Hospital,Frederick Memorial Hospital,Mercy Medical Center,Johns Hopkins Hospital,Dorchester (UMSRH),St. Agnes Hospital,Sinai Hospital of Baltimore,White Oak Medical Center,Garrett Memorial Hospital (WVU),Montgomery Medical Center (MedStar),Peninsula Regional Medical Center,Suburban Hospital,Anne Arundel Medical Center,Union Memorial Hospital (MedStar),Western Maryland Medical Center (UPMC),St. Mary's Hospital,Johns Hopkins Bayview Medical Center,Chestertown (UMSRH),Carroll Hospital Center,Harbor Hospital (MedStar),Charles Regional (UM),Easton (UMSRH),UMM Center Midtown Campus (acute) (Formerly Maryland General),Calvert Memorial Hospital,Northwest Hospital,Baltimore Washington Medical Center,Greater Baltimore Medical Center,Howard County General Hospital (JHM),Doctors Community Hospital,Greater Laurel,Good Samaritan Hospital (MedStar),Shady Grove Adventist Hospital,Fort Washington Hospital,Atlantic General Hospital,Southern Maryland Hospital (MedStar),St. Joseph's (UM),Holy Cross Germantown,Queenstown Emergency Center,Franklin Square (MedStar),Grace Medical Center,Union Hospital of Cecil County,Upper Chesapeake Medical Center (UMUCH),Edward McCready Memorial Hospital,Harford Memorial Hospital (UMUCH)
21001,0,0,0,0,0,0,0,0,0,0,0.002024291,0.004048583,0.002024291,0,0,0,0.012145749,0,0,0,0,0,0,0,0,0,0.002024291,0.002024291,0,0.006072874,0,0,0,0,0,0.002024291,0,0,0.002024291,0.006072874,0,0,0,0.002024291,0,0,0,0,0.006072874,0,0.002024291,0.020242915,0,0.018218623,0.325910931,0,0.585020243
21005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575757576,0,0.393939394
21009,0,0,0,0,0,0,0,0,0,0,0,0.015267176,0,0,0,0.003816794,0.026717557,0,0,0.003816794,0,0,0,0,0,0,0,0.007633588,0,0.011450382,0.003816794,0,0,0,0,0.003816794,0,0,0,0.026717557,0,0,0,0.003816794,0,0.003816794,0,0,0.022900763,0,0,0.064885496,0,0.003816794,0.748091603,0,0.049618321
21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0.5
21012,0,0,0,0,0,0,0,0,0,0,0,0.011695906,0,0,0.005847953,0,0.005847953,0,0,0,0,0,0,0,0,0.871345029,0,0,0,0,0,0,0.005847953,0,0,0,0,0,0.087719298,0,0.005847953,0,0,0.005847953,0,0,0,0,0,0,0,0,0,0,0,0,0
21013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666667,0,0,0,0,0,0,0,0,0.4,0,0,0.066666667,0,0,0.266666667,0,0
21014,0,0,0,0,0,0,0,0,0,0,0,0.008230453,0.004115226,0,0,0,0.028806584,0,0,0.004115226,0,0.004115226,0,0,0,0,0,0,0,0.004115226,0,0,0,0,0,0,0,0,0,0.016460905,0,0,0,0,0,0,0,0,0.028806584,0,0,0.028806584,0,0,0.839506173,0,0.032921811
21015,0,0,0,0,0,0,0,0,0,0,0,0.00591716,0,0,0,0,0.023668639,0,0,0,0,0,0.00591716,0,0,0.00591716,0.00591716,0,0,0.00591716,0.00591716,0,0,0,0,0,0,0,0,0.017751479,0,0,0,0.00591716,0,0,0,0,0.023668639,0,0,0.035502959,0,0.00591716,0.828402367,0,0.023668639
21017,0,0,0,0,0,0,0,0,0,0,0,0.014084507,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0,0,0.028169014,0.014084507,0,0,0,0,0,0,0,0.028169014,0,0,0.042253521,0,0,0.676056338,0,0.169014085
21028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.6,0,0.36
21029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0.022727273,0,0,0.045454545,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0.886363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21030,0,0,0,0,0,0,0,0,0,0,0,0.013745704,0,0,0,0.006872852,0.020618557,0,0.006872852,0.030927835,0,0.003436426,0,0,0,0,0.013745704,0,0,0.003436426,0,0.003436426,0.003436426,0.003436426,0.006872852,0.006872852,0,0.006872852,0,0.364261168,0.003436426,0,0.003436426,0.017182131,0,0.003436426,0,0,0.463917526,0,0,0.010309278,0,0,0.003436426,0,0
21032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955,0.011235955,0,0.808988764,0,0,0,0,0,0,0,0.011235955,0,0,0,0,0.123595506,0,0,0,0,0,0,0,0,0,0.011235955,0,0,0.011235955,0,0,0,0.011235955,0
21034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0.03030303,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636363636,0,0.242424242
21035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88372093,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0.046511628,0,0,0,0,0,0,0,0.023255814,0,0,0,0.023255814,0,0,0,0,0,0
21036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005434783,0,0,0,0,0,0,0,0,0.945652174,0,0,0,0,0.005434783,0,0,0,0,0,0.005434783,0,0.032608696,0.005434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
