"","1.Person.Household","2.People.Household","3.People.Household","4.People.Household","5.People.Household","6.People.Household","7+.People.Household"
"Less Than 5",0,0.00770208035572495,0.0653008490217793,0.0871448592177347,0.0917502787068004,0.0969483568075117,0.109819121447028
"5 to 17",0.000670731707317073,0.0303319040813086,0.1515688445921,0.26958848260925,0.336231884057971,0.365962441314554,0.365633074935401
"18 to 49",0.310121951219512,0.346461277857181,0.495865633074935,0.48502994011976,0.449665551839465,0.414788732394366,0.399870801033592
"50 to 64",0.286646341463415,0.307527393997142,0.204577334809893,0.126003312523888,0.0918060200668896,0.0800469483568075,0.0854328165374677
"65+",0.402560975609756,0.307977343708644,0.082687338501292,0.0322334055293668,0.030546265328874,0.0422535211267606,0.0392441860465116
