  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases,count
  0.0,1.2876968840942822,1.2876968840942817,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2.330980349070986,2.149560942354964,  0.0,0.4670795064077665,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2.4727081741050063,2.3621591644864552,  0.0,0.4564727231048698,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,0.3582838915424129,0.717848258651492,  0.0,0.6067645880455804,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
  0.0,1.9926395170471651,1.709517177331611,  0.0,0.5598833697790121,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,3.442946056943155,2.7935786426469287,  0.0,1.1485572138423874,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,3.6327591133338606,3.016316174625287,0.11866605518454394,1.2453996981544784,0.11866605518454394,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,1.0487115515561691,1.4667053179817393,0.11866605518454394,1.4724684259114424,0.11866605518454394,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
  0.0,2.53340941525568,1.8744250819264823,0.11866605518454394,0.8176621726430959,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,4.8894722389548555,3.664055966063971,0.20253495541082606,1.8461764127349185,0.1665986255670086,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,4.585447255242635,3.5634482268311567,0.3749829928116196,1.9703931028076194,0.20253495541082608,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,2.4898159918896394,2.1375648933937392,0.4867635724971663,2.2654908915270076,0.25753937681885647,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
  0.0,3.1606315566251464,2.202225219719215,0.11866605518454394,1.2636196792854844,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6.600803908986994,4.304269356566519,0.4237827706911808,2.777643987707745,0.3270149469217028,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6.319002762965637,4.656551233236363,0.569460897942707,2.8617462914686715,0.33472498611028506,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,4.697567759718088,3.5815855569902024,0.730669248716824,3.160857543161866,0.4437778447716878,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
  0.0,3.9411228069665416,2.344119868774563,0.2638026473231342,1.9606329673483163,0.2575393768188563,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,7.698873493000421,4.224926034855522,0.6220440302022068,3.648762720122412,0.5960756012864307,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,8.2174031351586,5.391906254862421,0.9312050564418436,3.8794329482541645,0.840796512546409,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,6.5457417222097565,4.689023221899226,1.0675166681296806,4.480547524851062,1.0277774713488546,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
  0.0,4.912063451029392,2.5787198216105893,0.38359204520278695,2.324009554232355,0.4012734830053756,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9.850556805975739,5.322286603883479,0.7651863851909756,4.4940777356291415,1.2209063210983713,  0.0,  0.0,  0.0,0.11866605518454394,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,11.023722101885182,7.242110415155662,1.1654901745354935,5.301982686520512,1.0182016960688838,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,9.670500060936432,6.74323546154188,1.395619970493693,5.86690823559547,1.6845637720314466,  0.0,  0.0,  0.0,0.11866605518454394,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
  0.0,6.166466258924069,3.379288658391688,0.42378277069118114,2.855034936703212,0.6306782872755465,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,11.958678856796846,6.072168022197339,0.9485757314876584,5.313440793047805,1.900644359050855,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,13.513266346333104,7.998737145222824,1.4490672580551074,6.869646338518928,1.852742038499826,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,13.376494766750303,8.482827791894563,1.7365224456025994,7.649463099740119,2.544461773005386,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
  0.0,7.190143480161304,3.6900306950772443,0.4462999814803805,3.639606392713029,0.8741176309016204,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,14.090262957236863,6.550214204317975,1.071333329100153,6.771729951099073,2.5227131491021852,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,16.13557990205217,8.50763162803652,1.7670452681218543,8.552646087734535,2.335878106967966,  0.0,0.11866605518454394,0.11866605518454394,0.11866605518454394,0.11866605518454394,  0.0,  0.0,  0.0,  0.0,  0.0,16.288947047564726,9.18526992926552,1.983812038495994,10.901422861634314,3.2924155266308652,  0.0,0.11866605518454394,0.11866605518454394,0.11866605518454394,0.11866605518454394,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
  0.0,8.489861901234953,3.904366995129052,0.7907630001770315,3.892562243089573,1.260385428577873,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,16.943850850165475,7.458401645261594,1.247119129212995,8.18340780270091,3.2433291034783056,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,20.01570811709072,9.980797890480112,2.038857222934016,10.555480247971008,3.7973137659054057,  0.0,0.25753937681885597,0.23211538298959894,0.2575393768188564,0.1665986255670086,  0.0,  0.0,  0.0,  0.0,  0.0,21.733938474944058,11.440208361168024,2.3974476223769345,13.562854434379336,4.614175142416893,  0.0,0.25753937681885597,0.23211538298959894,0.2575393768188564,0.1665986255670086,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
  0.0,9.645565757150287,4.172529209005014,0.889966750124144,4.282594102281695,1.99202491583467,  0.0,0.11866605518454394,0.11866605518454394,0.1665986255670086,0.11866605518454394,  0.0,  0.0,  0.0,  0.0,  0.0,19.063053270659452,7.841803207873837,1.418248416684669,9.477104526387881,4.175731635758882,  0.0,0.11866605518454394,0.11866605518454394,0.11866605518454394,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,23.760471375795543,12.158108069791723,2.404290382815262,12.108489179252778,5.433475228730181,  0.0,0.31815796359028714,0.20253495541082603,0.23211538298959894,0.20253495541082595,  0.0,  0.0,  0.0,  0.0,  0.0,26.538001247344948,13.774192076014431,2.7354065474060407,16.664792411621846,6.298509703874077,  0.0,0.34992710611188244,0.2575393768188564,0.29999999999999977,0.23211538298959894,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
